local_designation ps1_designation id followup_flag_date
3F3Paad PS1-13cxk 1160008061314450000 2013-06-07
3F3Paae PS1-13cxm 1162014141342009100 2013-06-07
3F3Parr PS1-13cxo 1173015071335635900 2013-06-07
3F3Pahm PS1-13cxy 1183005311544540100 2013-06-08
3F3Pahu PS1-13cfl 1153619961523634000 2013-06-08
3F3Pahq PS1-13cxv 1162513321485612300 2013-06-08
3F3Pfry PS1-13cyi 1155438061374825000 2013-06-10
3F3Pfgp PS1-13cyj 1162926181382511000 2013-06-10
3F3Pfht PS1-13cyk 1163129071380719700 2013-06-10
3F3Pfrq PS1-13cyh 1155151331401346300 2013-06-10
3F3Pexy PS1-13cyl 1170416061413037400 2013-06-10
3F3Pfig PS1-13dok 1162750111402820700 2013-06-10
3F3Pemv PS1-13cyn 1174033451414756000 2013-06-10
3F3Pesu PS1-13cym 1171722051410400200 2013-06-10
3F3Pgoh PS1-13cys 1160655811030015400 2013-06-12
3F3Pgkg PS1-13cyr 1160538251061412800 2013-06-12
3F3Pggp PS1-13cyq 1160120671084957800 2013-06-12
3F3Pgyy PS1-13cyv 1190525931422739800 2013-06-12
3F3Pgpe PS1-13cpo 1165054621512932400 2013-06-12
3F3Pgek PS1-13cyp 1155825281535705500 2013-06-12
3F3Phfg PS1-13cyu 1163055101550920300 2013-06-12
3F3Phms PS1-13cyz 1172004790054254600 2013-06-13
3F3Pgyf PS1-13cyx 1154644430003904700 2013-06-13
3F3Phnx PS1-13cyy 1160905960004903000 2013-06-13
3F3Pgyu PS1-13cyw 1154616551022522500 2013-06-13
3F3Phmn PS1-13czb 1154547421044345100 2013-06-14
3F3Phmo PS1-13czd 1162938231062959100 2013-06-14
3F3Phnv PS1-13cze 1155534431394045000 2013-06-15
3F3Phnt PS1-13czf 1161327951390235200 2013-06-15
3F3Phny PS1-13czh 1171230121430250300 2013-06-16
3F3Phom PS1-13czq 1163709930045418400 2013-06-17
3F3Phok PS1-13czk 1151231741120620500 2013-06-17
3F3Phoj PS1-13czl 1153053171114042100 2013-06-17
3F3Phoh PS1-13czn 1154731901114607300 2013-06-17
3F3Phoo PS1-13czp 1160916151115826900 2013-06-17
3F3Phoe PS1-13czm 1153605141135707000 2013-06-17
3F3Phol PS1-13czo 1160443791152016900 2013-06-17
3F3Phon PS1-13czj 1150758671135217600 2013-06-17
3F3Phog PS1-13czs 1175042501531443700 2013-06-17
3F3Phoq PS1-13czt 1163757271042048300 2013-06-18
3I3Phse PS1-13dac 1215133430281856500 2013-09-02
3I3Phph PS1-13czy 1210224620250924500 2013-09-02
3I3Phpi PS1-13czw 1000647540213659400 2013-09-02
3I3Phpg PS1-13daa 1211858540222413800 2013-09-02
3I3Phve PS1-13dab 1213444340241317600 2013-09-02
3I3Phpj PS1-13dad 1221127230262646400 2013-09-02
3I3Phov PS1-13czz 1211000040224433900 2013-09-02
3I3Phvt PS1-13czv 999653320183625400 2013-09-02
3I3Phpk PS1-13dae 1221722150234024000 2013-09-02
3I3Phwb PS1-13dbj 1234458861095524700 2013-09-04
3I3Phwp PS1-13dai 1001533051100212200 2013-09-04
3I3Phwi PS1-13dbe 1225553341131751600 2013-09-04
3I3Pmcz PS1-13dvp 1210331491151049200 2013-09-04
3I3Phwc PS1-13dag 1001348381150452200 2013-09-04
3I3Phwh PS1-13dat 1222012891113248600 2013-09-04
3I3Phzl PS1-13daw 1223213521120603400 2013-09-04
3I3Phwj PS1-13dam 1004250321114140300 2013-09-04
3I3Phxv PS1-13dal 1003554551123727900 2013-09-04
3I3Pjfm PS1-13dba 1223917331153034500 2013-09-04
3I3Pjfr PS1-13cwy 1224455381134027500 2013-09-04
3I3Phyg PS1-13day 1223721841155340700 2013-09-04
3I3Phxw PS1-13dbg 1231105401155542900 2013-09-04
3I3Pktb PS1-13dpy 1004233881151745100 2013-09-04
3I3Phwg PS1-12bai 1210954141163051800 2013-09-04
3I3Phwm PS1-13daj 1002003561152749100 2013-09-04
3I3Phyf PS1-13dan 1004410241183749600 2013-09-04
3I3Phvw PS1-13dbd 1224807501170220400 2013-09-04
3I3Phxz PS1-13dar 1214721541191027600 2013-09-04
3I3Phws PS1-13dbc 1224453011164543400 2013-09-04
3I3Phxe PS1-13daz 1223757901195205300 2013-09-04
3I3Phyc PS1-13dav 1222144581162905000 2013-09-04
3I3Phyi PS1-13dau 1222122331190604900 2013-09-04
3I3Pimo PS1-13dbh 1231108211173854500 2013-09-04
3I3Phyh PS1-13dbi 1232540421200049200 2013-09-04
3I3Phxi PS1-13das 1220728321230826000 2013-09-04
3I3Phya PS1-13dak 1002837481214441200 2013-09-04
3I3Phww PS1-13dax 1223317781175503400 2013-09-04
3I3Phzj PS1-13dbq 1002447140155027100 2013-09-05
3I3Phzy PS1-13dbs 1003522760151148300 2013-09-05
3I3Phyn PS1-13dbm 1001629500144152100 2013-09-05
3I3Phzi PS1-13dbr 1002708360124554300 2013-09-05
3I3Phyj PS1-13dbp 1002425000095848300 2013-09-05
3I3Phzh PS1-13dbt 1003708421234920500 2013-09-05
3I3Piuc PS1-13dbl 1001543291275257900 2013-09-05
3I3Phyo PS1-13dbk 1000904761270001700 2013-09-05
3I3Phym PS1-13dby 1234256801263823600 2013-09-05
3I3Phzg PS1-13dbw 1233534791261208200 2013-09-05
3I3Phyk PS1-13dbx 1233753761270524600 2013-09-05
3I3Piug PS1-13dbn 1001927221253752800 2013-09-05
3I3Phzu PS1-13cxb 1212304011114329100 2013-09-06
3I3Phzw PS1-13dch 1213731291110838800 2013-09-06
3I3Phzo PS1-13dck 1220014741110418900 2013-09-06
3I3Piah PS1-13dcn 1221128161103955100 2013-09-06
3I3Phzv PS1-13dcl 1221009671111648000 2013-09-06
3I3Pigp PS1-13dco 1211033760184102800 2013-09-07
3I3Piag PS1-13dcp 999464080114631100 2013-09-09
3I3Piai PS1-13dcs 1212954680104636100 2013-09-09
3I3Piac PS1-13dcu 1215112650130026500 2013-09-09
3I3Piaf PS1-13dcq 1000820531294246200 2013-09-09
3I3Phzx PS1-13dcr 1001901011281636100 2013-09-09
3I3Picu PS1-13ddc 1223702660234233100 2013-09-11
3I3Picc PS1-13dde 1225149520190959300 2013-09-11
3I3Pibk PS1-13ddj 1231030780230605600 2013-09-11
3I3Pibi PS1-13ddi 1230923950170408900 2013-09-11
3I3Pibh PS1-13ddh 1230543030203744100 2013-09-11
3I3Pien PS1-13ddf 1225430161281655600 2013-09-11
3I3Pidd PS1-13dda 1222846811254121100 2013-09-11
3I3Pidi PS1-13dcz 1222207761225919100 2013-09-11
3I3Pieq PS1-13ddd 1224056571293212600 2013-09-11
3I3Pibu PS1-13ddg 1225836531252528200 2013-09-11
3I3Piew PS1-13dcx 1214919231121007000 2013-09-11
3I3Pigk PS1-13ddk 1000814761101243900 2013-09-11
3I3Pikj PS1-13ddr 1225613191123446800 2013-09-11
3I3Pigj PS1-13ddm 1221528471153403100 2013-09-11
3I3Pikn PS1-13dds 1225649101161610400 2013-09-11
3I3Pigb PS1-13ddu 1232519491131248000 2013-09-11
3I3Piua PS1-13ddl 1215958251275135100 2013-09-11
3I3Pirk PS1-13ddv 1215312301153247100 2013-09-15
3I3Pimr PS1-13ddz 1224935051655445500 2013-09-15
3I3Pimp PS1-13dea 1230047171662614400 2013-09-15
3I3Pimw PS1-13dfq 1234518150303855300 2013-09-16
3I3Pins PS1-13des 1003305860285526800 2013-09-16
3I3Pirm PS1-13def 1000021180250812500 2013-09-16
3I3Pino PS1-13dew 1004517810262926300 2013-09-16
3I3Pimz PS1-13dfr 1234524380255139500 2013-09-16
3I3Piqz PS1-13deh 1000748051181758600 2013-09-16
3I3Pinn PS1-13dex 1004556941161335900 2013-09-16
3I3Pint PS1-13dek 1001544701190023800 2013-09-16
3I3Pinl PS1-13dfa 1004809681180454200 2013-09-16
3I3Pinc PS1-13dfm 1233603751181512900 2013-09-16
3I3Piqx PS1-13dei 1001349111205147400 2013-09-16
3I3Pipv PS1-13dez 1004734711205108300 2013-09-16
3I3Pinq PS1-13deu 1003745271221625500 2013-09-16
3I3Piqv PS1-13del 1001746361221419600 2013-09-16
3I3Piqr PS1-13dem 1001823611215523500 2013-09-16
3I3Pinp PS1-13dfb 1004907661205834400 2013-09-16
