time,band,magnitude,e_magnitude,diffmaglim,telescope
57869.495943,c,18.395171,0.064826,,ATLAS
57893.357043,c,17.990016,0.041051,,ATLAS
57901.355304,c,17.638659,0.034514,,ATLAS
57868.497299,o,18.364366,0.170556,,ATLAS
57880.344183,o,17.956283,0.10751,,ATLAS
57881.350924,o,17.877224,0.063506,,ATLAS
57882.35591,o,17.961206,0.088358,,ATLAS
57885.348863,o,17.374927,0.07354,,ATLAS
57887.316537,o,17.756975,0.046867,,ATLAS
57889.360931,o,17.851367,0.052519,,ATLAS
57891.303049,o,17.755858,0.062326,,ATLAS
57896.259476,o,17.622019,0.045427,,ATLAS
57899.254843,o,17.535696,0.035763,,ATLAS
57900.254331,o,17.508053,0.041283,,ATLAS
57903.254449,o,17.415633,0.036149,,ATLAS
57907.26142,o,17.388049,0.058166,,ATLAS
57909.262868,o,17.418171,0.059132,,ATLAS
57913.272123,o,17.318145,0.057446,,ATLAS
57924.266605,o,17.207227,0.030397,,ATLAS
57928.269408,o,17.21876,0.027803,,ATLAS
57932.269757,o,17.217267,0.027948,,ATLAS
57936.285866,o,17.241959,0.031247,,ATLAS
57940.289108,o,17.284534,0.035007,,ATLAS
57942.285354,o,17.243884,0.046347,,ATLAS
57946.299999,o,17.261954,0.032938,,ATLAS
57948.294884,o,17.267159,0.044129,,ATLAS
58055.638693,o,18.363531,0.09475,,ATLAS
58059.633532,o,18.42632,0.112505,,ATLAS
58063.633456,o,18.295266,0.128605,,ATLAS
58065.622934,o,18.458243,0.145401,,ATLAS
58101.644506,o,19.230587,0.122764,,ATLAS
58105.64259,o,19.322117,0.147469,,ATLAS
58117.573808,o,19.847939,0.202804,,ATLAS
60015.998743,o,16.092823,0.020976,,ATLAS
