time,band,magnitude,e_magnitude,diffmaglim,telescope
57977.81928,G,17.2,0.1,,Gaia
57977.99545,G,17.15,0.1,,Gaia
57994.24911,G,17.27,0.1,,Gaia
57994.32311,G,17.27,0.1,,Gaia
58032.21566,G,18.22,0.1,,Gaia
58032.28966,G,18.2,0.1,,Gaia
58063.95325,G,19.8,0.1,,Gaia
58064.02727,G,19.86,0.1,,Gaia
58089.20457,G,20.04,0.1,,Gaia
58089.27858,G,20.27,0.1,,Gaia
57391.367745,c,16.015463,0.019763,,ATLAS
58109.454742,c,17.80215,0.050279,,ATLAS
57388.394866,o,14.886468,0.008335,,ATLAS
57800.355773,o,16.941167,0.072293,,ATLAS
57804.354586,o,16.91378,0.078666,,ATLAS
57818.287468,o,17.855431,0.122209,,ATLAS
57828.233536,o,17.46203,0.17988,,ATLAS
57866.240782,o,15.628955,0.106449,,ATLAS
58015.631415,o,17.857203,0.122545,,ATLAS
58019.632929,o,17.899994,0.11021,,ATLAS
58023.62493,o,18.134076,0.094528,,ATLAS
58027.597174,o,18.298201,0.105099,,ATLAS
58031.574704,o,18.010467,0.136049,,ATLAS
58037.604876,o,18.410173,0.107245,,ATLAS
58039.605245,o,18.646856,0.136581,,ATLAS
58567.292969,o,17.328823,0.169906,,ATLAS
59639.892942,o,13.661815,0.004318,,ATLAS
