time,band,magnitude,e_magnitude,diffmaglim,telescope
58029.84455,G,18.5,0.1,,Gaia
58029.91855,G,18.55,0.1,,Gaia
58068.82492,G,19.57,0.1,,Gaia
58088.08112,G,19.98,0.1,,Gaia
58088.33128,G,20.1,0.1,,Gaia
58140.39373,G,20.67,0.1,,Gaia
58164.82191,G,20.7,0.1,,Gaia
57983.356393,c,19.753745,0.150558,,ATLAS
57991.365431,c,18.741167,0.119685,,ATLAS
58019.278518,c,18.465638,0.036721,,ATLAS
57985.342931,o,19.72078,0.194646,,ATLAS
57989.339919,o,19.153334,0.153064,,ATLAS
57995.346296,o,18.852771,0.119797,,ATLAS
57997.325808,o,18.936779,0.10726,,ATLAS
57999.337449,o,18.573222,0.149442,,ATLAS
58003.298839,o,18.765219,0.092133,,ATLAS
58007.273258,o,18.730594,0.091035,,ATLAS
58009.277805,o,18.452558,0.163035,,ATLAS
58013.271959,o,18.562791,0.084565,,ATLAS
58021.24061,o,18.532777,0.061743,,ATLAS
58023.229766,o,18.487666,0.096268,,ATLAS
58025.22456,o,18.513029,0.072628,,ATLAS
58027.235447,o,18.519279,0.163655,,ATLAS
58045.232422,o,18.601048,0.070288,,ATLAS
58053.246476,o,18.822429,0.13884,,ATLAS
58055.261402,o,18.765379,0.113507,,ATLAS
58365.331172,o,18.493214,0.099524,,ATLAS
