time,band,magnitude,e_magnitude,diffmaglim,telescope
58019.532039,c,18.202971,0.12265,,ATLAS
58044.533752,c,18.375287,0.128812,,ATLAS
58071.442042,c,19.175176,0.197797,,ATLAS
58075.433433,c,19.288273,0.203077,,ATLAS
58399.556976,c,19.170277,0.195841,,ATLAS
57989.605154,o,18.729893,0.214792,,ATLAS
57999.61357,o,18.35044,0.148999,,ATLAS
58007.57504,o,18.575252,0.198427,,ATLAS
58013.537427,o,18.62518,0.135674,,ATLAS
58021.518332,o,17.609836,0.074701,,ATLAS
58023.537291,o,17.53952,0.080809,,ATLAS
58025.52011,o,17.677434,0.082251,,ATLAS
58026.544575,o,17.356105,0.059717,,ATLAS
58027.531638,o,17.253599,0.054337,,ATLAS
58029.532886,o,17.212731,0.057106,,ATLAS
58032.542857,o,17.171359,0.057117,,ATLAS
58040.525091,o,17.678623,0.160456,,ATLAS
58045.471095,o,17.703324,0.081671,,ATLAS
58049.484692,o,18.106675,0.121654,,ATLAS
58053.458886,o,18.05062,0.113618,,ATLAS
58055.456992,o,18.292641,0.160406,,ATLAS
58057.473388,o,18.560708,0.195242,,ATLAS
58059.4331,o,18.416589,0.189581,,ATLAS
58063.458033,o,18.30832,0.158259,,ATLAS
58064.475848,o,18.371434,0.1599,,ATLAS
