time,band,magnitude,e_magnitude,diffmaglim,telescope
58087.01502,G,18.61,0.1,,Gaia
58087.08903,G,18.56,0.1,,Gaia
58113.00466,G,18.94,0.1,,Gaia
58113.07867,G,18.92,0.1,,Gaia
58137.24625,G,19.21,0.1,,Gaia
57246.520019,c,19.214562,0.156491,,ATLAS
58074.353558,c,18.469586,0.065494,,ATLAS
58078.347012,c,18.841869,0.127626,,ATLAS
58082.32434,c,18.729535,0.197201,,ATLAS
58110.287187,c,19.449749,0.186053,,ATLAS
58134.279923,c,19.559763,0.193134,,ATLAS
57229.524727,o,16.772206,0.042944,,ATLAS
58033.417573,o,18.679867,0.15073,,ATLAS
58034.412744,o,18.16808,0.089933,,ATLAS
58036.413915,o,17.929905,0.059677,,ATLAS
58037.411303,o,17.819404,0.054214,,ATLAS
58044.394465,o,17.329311,0.037798,,ATLAS
58048.388685,o,17.250843,0.031408,,ATLAS
58054.375734,o,17.193955,0.029153,,ATLAS
58056.361087,o,17.234887,0.035737,,ATLAS
58062.367784,o,17.453076,0.046198,,ATLAS
58064.363888,o,17.529142,0.044957,,ATLAS
58066.365014,o,17.582118,0.040175,,ATLAS
58068.359652,o,17.750128,0.054122,,ATLAS
58070.356392,o,17.894832,0.054708,,ATLAS
58072.350185,o,17.931001,0.056271,,ATLAS
58076.345245,o,18.264618,0.093511,,ATLAS
58080.335191,o,18.216653,0.0732,,ATLAS
58092.301159,o,18.604972,0.126227,,ATLAS
58096.31421,o,18.775313,0.125099,,ATLAS
58098.312982,o,18.749043,0.141425,,ATLAS
58100.308416,o,18.767755,0.122255,,ATLAS
58112.262288,o,18.940737,0.154838,,ATLAS
58116.292757,o,18.808132,0.176557,,ATLAS
58120.279576,o,18.93632,0.214117,,ATLAS
58124.286704,o,19.103266,0.170082,,ATLAS
58128.279566,o,18.898919,0.144072,,ATLAS
58130.277894,o,19.208388,0.182495,,ATLAS
58132.278375,o,19.171205,0.184049,,ATLAS
