time,band,magnitude,e_magnitude,diffmaglim,telescope
58039.12286,G,16.93,0.1,,Gaia
58039.19686,G,16.92,0.1,,Gaia
58069.61081,G,17.29,0.1,,Gaia
58069.68481,G,17.28,0.1,,Gaia
58103.58601,G,18.06,0.1,,Gaia
58103.66001,G,18.1,0.1,,Gaia
58128.0792,G,18.44,0.1,,Gaia
58128.15321,G,18.43,0.1,,Gaia
58164.36605,G,18.85,0.1,,Gaia
58186.86191,G,19.05,0.1,,Gaia
58250.06781,G,19.81,0.1,,Gaia
58316.381926,c,16.118487,0.018094,,ATLAS
58026.297253,o,17.809787,0.093563,,ATLAS
58028.294792,o,17.342713,0.043553,,ATLAS
58030.278758,o,17.325078,0.151913,,ATLAS
58036.280017,o,16.924287,0.038823,,ATLAS
58038.266634,o,16.9103,0.066684,,ATLAS
58040.269255,o,16.750654,0.061146,,ATLAS
58056.234055,o,16.753436,0.036029,,ATLAS
58120.641912,o,18.377237,0.137678,,ATLAS
58148.665646,o,18.662077,0.213482,,ATLAS
58176.639253,o,19.075753,0.184608,,ATLAS
