time,band,magnitude,e_magnitude,diffmaglim,telescope
58074.424277,c,19.511114,0.192978,,ATLAS
58048.463098,o,19.122162,0.169761,,ATLAS
58054.443198,o,18.911307,0.125488,,ATLAS
58056.423772,o,18.833767,0.135248,,ATLAS
58058.412956,o,18.799884,0.160317,,ATLAS
58064.427403,o,19.020241,0.188122,,ATLAS
58066.437538,o,18.952887,0.142188,,ATLAS
58068.421848,o,18.876434,0.150158,,ATLAS
58070.418754,o,19.014588,0.137318,,ATLAS
58072.412925,o,19.194479,0.169855,,ATLAS
58080.40374,o,19.355729,0.201497,,ATLAS
