time,band,magnitude,e_magnitude,diffmaglim,telescope
58101.27703,G,19.11,0.1,,Gaia
58101.35103,G,19.05,0.1,,Gaia
58108.78063,G,19.3,0.1,,Gaia
58108.85462,G,19.24,0.1,,Gaia
58109.03076,G,19.28,0.1,,Gaia
58146.32264,G,19.92,0.1,,Gaia
58185.29475,G,20.54,0.1,,Gaia
58185.47089,G,20.47,0.1,,Gaia
58185.54488,G,20.45,0.1,,Gaia
58190.79777,G,20.65,0.1,,Gaia
58071.430597,c,18.219971,0.060732,,ATLAS
58075.424541,c,18.420302,0.069048,,ATLAS
58079.430435,c,18.653442,0.085587,,ATLAS
58055.443171,o,18.957327,0.119204,,ATLAS
58057.467599,o,18.485198,0.119038,,ATLAS
58059.427619,o,18.350126,0.115162,,ATLAS
58063.453872,o,17.9117,0.080076,,ATLAS
58065.415865,o,17.736543,0.112446,,ATLAS
58067.429698,o,17.768304,0.048147,,ATLAS
58073.40762,o,17.727013,0.032831,,ATLAS
58077.397835,o,17.832152,0.036626,,ATLAS
58081.388046,o,17.945804,0.055857,,ATLAS
58093.37218,o,18.545147,0.092169,,ATLAS
58097.369103,o,18.74568,0.113552,,ATLAS
58099.364061,o,18.95203,0.111916,,ATLAS
58101.355699,o,18.925467,0.095307,,ATLAS
58111.412196,o,19.231305,0.169496,,ATLAS
58113.353979,o,18.772119,0.181781,,ATLAS
58117.3334,o,18.788034,0.184298,,ATLAS
58125.344751,o,19.331635,0.146849,,ATLAS
58127.318123,o,19.474822,0.204176,,ATLAS
58129.32828,o,19.712263,0.209559,,ATLAS
58131.330635,o,19.369939,0.190441,,ATLAS
