time,band,magnitude,e_magnitude,diffmaglim,telescope
58119.39486,G,18.65,0.1,,Gaia
58119.46888,G,18.65,0.1,,Gaia
58139.72207,G,19.58,0.1,,Gaia
58139.89824,G,19.62,0.1,,Gaia
58134.638259,c,19.712311,0.150052,,ATLAS
57865.451095,o,17.295129,0.090333,,ATLAS
58092.592835,o,18.630802,0.158634,,ATLAS
58098.591933,o,18.738984,0.139694,,ATLAS
58100.581785,o,18.497474,0.068592,,ATLAS
58104.5853,o,18.04433,0.061285,,ATLAS
58112.547307,o,17.865375,0.050843,,ATLAS
58116.555152,o,18.275647,0.10401,,ATLAS
58118.532313,o,18.254797,0.09843,,ATLAS
58120.537344,o,18.462943,0.153485,,ATLAS
58124.548553,o,18.478926,0.141015,,ATLAS
58128.543667,o,18.810318,0.130131,,ATLAS
58130.543476,o,18.911016,0.129462,,ATLAS
58132.616544,o,19.299358,0.18972,,ATLAS
58135.584828,o,19.032814,0.158922,,ATLAS
58136.611369,o,19.514257,0.175444,,ATLAS
58139.56506,o,19.240125,0.187704,,ATLAS
58140.577868,o,19.502357,0.182281,,ATLAS
59727.044264,o,18.489593,0.215589,,ATLAS
