time,band,magnitude,e_magnitude,diffmaglim,telescope
58096.17477,G,17.44,0.1,,Gaia
58096.24877,G,17.44,0.1,,Gaia
58150.65992,G,18.32,0.1,,Gaia
58150.73392,G,18.31,0.1,,Gaia
58200.39785,G,19.33,0.1,,Gaia
58200.47186,G,19.24,0.1,,Gaia
58200.72203,G,19.3,0.1,,Gaia
58200.97219,G,19.25,0.1,,Gaia
58201.22235,G,19.26,0.1,,Gaia
58213.72922,G,19.35,0.1,,Gaia
58213.90538,G,19.34,0.1,,Gaia
58213.97939,G,19.34,0.1,,Gaia
58214.40571,G,19.3,0.1,,Gaia
58264.39047,G,20.17,0.1,,Gaia
58264.46448,G,20.18,0.1,,Gaia
58322.11979,G,20.86,0.1,,Gaia
58225.342196,c,16.864158,0.139601,,ATLAS
59586.016615,c,17.296315,0.052329,,ATLAS
58117.573886,o,16.994582,0.025601,,ATLAS
58119.558969,o,17.145257,0.09577,,ATLAS
58121.552965,o,17.208626,0.093062,,ATLAS
58123.571872,o,17.101793,0.033512,,ATLAS
58127.559241,o,17.281593,0.057732,,ATLAS
58129.551571,o,17.437183,0.165879,,ATLAS
58131.546534,o,17.374299,0.055867,,ATLAS
58135.567866,o,17.816731,0.081227,,ATLAS
58139.548223,o,17.817659,0.113636,,ATLAS
