time,band,magnitude,e_magnitude,diffmaglim,telescope
58104.202874,c,16.590595,0.047552,,ATLAS
58256.589273,c,18.740602,0.151276,,ATLAS
58284.548819,c,19.05191,0.204281,,ATLAS
58308.502034,c,19.036117,0.173597,,ATLAS
58312.485863,c,18.986971,0.126406,,ATLAS
58396.328914,c,19.461729,0.214127,,ATLAS
58098.245062,o,18.17453,0.131651,,ATLAS
58100.210587,o,17.330099,0.070755,,ATLAS
58102.2053,o,17.047934,0.052936,,ATLAS
58112.209048,o,15.700115,0.015613,,ATLAS
58208.532402,o,18.11709,0.10593,,ATLAS
58220.625747,o,18.402362,0.141823,,ATLAS
58232.614475,o,18.387178,0.142773,,ATLAS
58248.584286,o,18.535553,0.183688,,ATLAS
58262.581569,o,18.913257,0.202234,,ATLAS
58272.570926,o,18.546946,0.199551,,ATLAS
58292.519162,o,19.301006,0.213859,,ATLAS
