time,band,magnitude,e_magnitude,diffmaglim,telescope
57862.296278,c,19.191455,0.171422,,ATLAS
58194.325622,c,19.272155,0.13455,,ATLAS
58196.358741,c,19.210054,0.139472,,ATLAS
58064.613694,o,18.528686,0.159846,,ATLAS
58078.569663,o,18.855157,0.159635,,ATLAS
58091.51579,o,18.341827,0.127735,,ATLAS
58094.538098,o,18.252672,0.149888,,ATLAS
58096.540303,o,18.009342,0.122683,,ATLAS
58098.531019,o,18.2119,0.088236,,ATLAS
58100.56021,o,18.048574,0.084126,,ATLAS
58102.53391,o,18.008892,0.073938,,ATLAS
58110.515467,o,17.806586,0.060148,,ATLAS
58112.527731,o,17.718109,0.10816,,ATLAS
58116.52066,o,17.812371,0.063296,,ATLAS
58118.566486,o,17.952075,0.165994,,ATLAS
58122.493816,o,18.170756,0.101442,,ATLAS
58124.596616,o,18.052437,0.082785,,ATLAS
58126.578363,o,18.014476,0.076246,,ATLAS
58128.496888,o,17.933407,0.06781,,ATLAS
58130.566913,o,18.030782,0.0774,,ATLAS
58132.512784,o,17.980058,0.078618,,ATLAS
58134.486902,o,17.962487,0.069656,,ATLAS
58138.476282,o,18.068581,0.078719,,ATLAS
58142.484669,o,18.135104,0.119328,,ATLAS
58150.441862,o,17.905945,0.091014,,ATLAS
58152.459889,o,17.991704,0.086764,,ATLAS
58154.456408,o,18.19875,0.095851,,ATLAS
58156.454864,o,18.144207,0.117553,,ATLAS
58160.540421,o,18.521113,0.171301,,ATLAS
58162.449129,o,18.303865,0.096686,,ATLAS
58188.37121,o,18.41148,0.150776,,ATLAS
58206.321965,o,18.78642,0.185405,,ATLAS
58208.276668,o,18.617379,0.210385,,ATLAS
58232.269633,o,18.719847,0.177558,,ATLAS
58260.282887,o,18.716941,0.166832,,ATLAS
58412.622221,o,19.186326,0.207406,,ATLAS
58746.610302,o,18.08416,0.142609,,ATLAS
58778.583896,o,19.136477,0.198806,,ATLAS
58794.594235,o,19.505456,0.197306,,ATLAS
58796.553788,o,18.984793,0.181092,,ATLAS
58800.485241,o,18.830612,0.191253,,ATLAS
58820.534574,o,18.136622,0.167521,,ATLAS
58824.539401,o,19.405454,0.195746,,ATLAS
