time,band,magnitude,e_magnitude,diffmaglim,telescope
58251.331228,c,17.503077,0.025682,,ATLAS
58252.297936,c,17.496332,0.019258,,ATLAS
58279.272354,c,18.334945,0.048933,,ATLAS
58283.263287,c,18.613702,0.111138,,ATLAS
58221.388354,o,19.376027,0.214515,,ATLAS
58243.2938,o,17.504837,0.039351,,ATLAS
58253.254809,o,17.536223,0.0306,,ATLAS
58257.254508,o,17.555517,0.045205,,ATLAS
58261.259281,o,17.508353,0.143452,,ATLAS
58263.27179,o,17.521199,0.055226,,ATLAS
58265.255415,o,17.638942,0.086906,,ATLAS
58269.266194,o,17.58741,0.051975,,ATLAS
58271.292182,o,17.707617,0.048891,,ATLAS
58273.290142,o,17.801504,0.050243,,ATLAS
58275.279199,o,17.874479,0.056608,,ATLAS
58277.28869,o,17.910272,0.061187,,ATLAS
58281.294596,o,18.302579,0.121141,,ATLAS
58285.292833,o,18.193634,0.114186,,ATLAS
