time,band,magnitude,e_magnitude,diffmaglim,telescope
58336.19503469998,r,19.244699478149414,0.1462710052728653,,ZTF
58314.169930600096,r,19.00790023803711,0.11648300290107727,,ZTF
58307.17248839978,r,18.826799392700195,0.08309199661016464,,ZTF
58300.176990699954,r,18.76689910888672,0.10966599732637405,,ZTF
58297.271006899886,r,18.537900924682617,0.09752599895000458,,ZTF
58291.23668979993,r,18.2677001953125,0.09238799661397934,,ZTF
58288.25541670015,r,18.18869972229004,0.0669260025024414,,ZTF
58282.21495370008,r,17.93869972229004,0.02851800061762333,,ZTF
58279.23613430001,r,17.75779914855957,0.024111999198794365,,ZTF
57844.563928,c,19.347759,0.185742,,ATLAS
58253.338659,c,19.109929,0.138473,,ATLAS
58254.471351,c,18.904493,0.086918,,ATLAS
58259.43532,c,18.27735,0.055758,,ATLAS
58279.419697,c,18.21413,0.046407,,ATLAS
58286.413866,c,18.510243,0.08296,,ATLAS
58287.395615,c,18.553598,0.085449,,ATLAS
58310.36391,c,19.289028,0.175285,,ATLAS
58311.365486,c,19.341504,0.174738,,ATLAS
58315.344622,c,19.363326,0.181997,,ATLAS
58335.290812,c,19.429085,0.137466,,ATLAS
58252.477715,o,19.196235,0.150311,,ATLAS
58253.46941,o,18.991819,0.170117,,ATLAS
58257.433037,o,18.322815,0.063897,,ATLAS
58260.449067,o,18.0591,0.052169,,ATLAS
58261.425127,o,17.964189,0.050029,,ATLAS
58262.441898,o,18.018927,0.208716,,ATLAS
58263.437743,o,17.766303,0.119067,,ATLAS
58265.423941,o,17.521375,0.141551,,ATLAS
58269.415789,o,17.543964,0.052276,,ATLAS
58271.424836,o,17.629882,0.054832,,ATLAS
58272.424985,o,17.613631,0.127482,,ATLAS
58273.423813,o,17.596579,0.049611,,ATLAS
58275.424266,o,17.702952,0.050648,,ATLAS
58276.437454,o,17.626994,0.173305,,ATLAS
58277.434146,o,17.860323,0.074882,,ATLAS
58280.374775,o,18.139748,0.094861,,ATLAS
58281.40863,o,17.832728,0.058494,,ATLAS
58282.448564,o,17.902372,0.061102,,ATLAS
58284.407304,o,17.994094,0.048296,,ATLAS
58285.397983,o,17.916565,0.061423,,ATLAS
58288.381957,o,17.975056,0.066971,,ATLAS
58289.385268,o,18.116866,0.078675,,ATLAS
58290.359888,o,18.187497,0.087125,,ATLAS
58291.392613,o,18.002153,0.08502,,ATLAS
58292.381617,o,18.173166,0.119005,,ATLAS
58293.382435,o,18.248215,0.128372,,ATLAS
58294.390644,o,18.205352,0.098859,,ATLAS
58295.378306,o,18.085451,0.114004,,ATLAS
58296.397285,o,18.154649,0.157238,,ATLAS
58298.352657,o,18.533998,0.133954,,ATLAS
58299.268268,o,18.476236,0.106169,,ATLAS
58300.361175,o,18.315111,0.099377,,ATLAS
58303.364808,o,18.57541,0.109774,,ATLAS
58312.342218,o,18.699032,0.128304,,ATLAS
58313.307318,o,18.918573,0.157697,,ATLAS
58316.296298,o,18.91414,0.124554,,ATLAS
58318.292145,o,18.912131,0.167461,,ATLAS
58321.268851,o,18.919633,0.171783,,ATLAS
58322.317256,o,18.599317,0.141075,,ATLAS
58323.259517,o,18.718918,0.162617,,ATLAS
58326.280785,o,19.04728,0.202444,,ATLAS
58327.273987,o,18.802608,0.15515,,ATLAS
58332.283079,o,19.093487,0.188383,,ATLAS
58337.248165,o,18.987342,0.183255,,ATLAS
58341.248206,o,18.980563,0.177452,,ATLAS
