time,band,magnitude,e_magnitude,diffmaglim,telescope
58259.540145,c,19.835433,0.181941,,ATLAS
58279.520043,c,19.382294,0.132915,,ATLAS
58287.485962,c,19.444228,0.129451,,ATLAS
58263.550886,o,19.232178,0.204021,,ATLAS
58271.538759,o,18.960272,0.137291,,ATLAS
58273.524513,o,19.11439,0.161935,,ATLAS
58275.525414,o,18.954224,0.120901,,ATLAS
58277.518885,o,19.211048,0.162734,,ATLAS
58281.507847,o,18.94343,0.120482,,ATLAS
58285.495827,o,19.228049,0.168655,,ATLAS
58289.481264,o,19.423849,0.187565,,ATLAS
58291.501014,o,19.105591,0.162999,,ATLAS
58293.474084,o,19.243661,0.211285,,ATLAS
