time,band,magnitude,e_magnitude,diffmaglim,telescope
58280.91924,G,16.84,0.1,,Gaia
58280.99324,G,16.85,0.1,,Gaia
58301.7428,G,18.35,0.1,,Gaia
58301.91895,G,18.36,0.1,,Gaia
58333.40101,G,19.39,0.1,,Gaia
58333.47501,G,19.37,0.1,,Gaia
57844.547,c,19.463699,0.203254,,ATLAS
58286.39437,c,17.363386,0.027194,,ATLAS
58310.343228,c,18.796068,0.102574,,ATLAS
58342.270268,c,19.329979,0.168892,,ATLAS
57893.436148,o,17.538939,0.088534,,ATLAS
58269.41499,o,18.004044,0.053676,,ATLAS
58272.405957,o,17.25736,0.078869,,ATLAS
58276.387483,o,16.787255,0.068098,,ATLAS
58280.400023,o,16.780165,0.026057,,ATLAS
58282.388286,o,16.815539,0.044564,,ATLAS
58284.385755,o,16.942581,0.026447,,ATLAS
58288.366696,o,17.219921,0.034297,,ATLAS
58290.342992,o,17.318441,0.04384,,ATLAS
58294.376684,o,17.782667,0.079899,,ATLAS
58295.371234,o,17.806512,0.077982,,ATLAS
58296.384777,o,17.768658,0.079349,,ATLAS
58298.336095,o,17.988776,0.084509,,ATLAS
58299.404338,o,18.005213,0.118468,,ATLAS
58300.352419,o,18.15983,0.093565,,ATLAS
58312.336041,o,18.778609,0.10245,,ATLAS
58316.296862,o,19.000943,0.18247,,ATLAS
