time,band,magnitude,e_magnitude,diffmaglim,telescope
58374.1344444002,r,19.823699951171875,0.13424800336360931,,ZTF
58371.213414399885,g,20.6924991607666,0.2131350040435791,,ZTF
58371.139259300195,r,19.841800689697266,0.14950799942016602,,ZTF
58365.15745369997,r,19.59269905090332,0.13030800223350525,,ZTF
58362.15863429988,r,19.582399368286133,0.11846499890089035,,ZTF
58349.242638899945,r,19.139400482177734,0.11015599966049194,,ZTF
58349.172002300154,g,20.172300338745117,0.21428599953651428,,ZTF
58346.17877310002,r,18.97610092163086,0.09756600111722946,,ZTF
58346.155509300064,g,19.99250030517578,0.16169600188732147,,ZTF
58343.17887730012,g,19.778099060058594,0.1297910064458847,,ZTF
58343.15863429988,r,18.764699935913086,0.0774179995059967,,ZTF
58340.32658560015,g,19.42329978942871,0.16541999578475952,,ZTF
58340.18000000017,r,18.528400421142578,0.0847800001502037,,ZTF
58337.19450230012,r,18.2992000579834,0.06186399981379509,,ZTF
58337.17960650008,g,19.10770034790039,0.0932449996471405,,ZTF
58334.186400500126,g,18.78260040283203,0.07158499956130981,,ZTF
58334.16504629981,r,18.089099884033203,0.05430300161242485,,ZTF
58331.24689809978,g,18.42169952392578,0.07891999930143356,,ZTF
58331.19952550018,r,17.934900283813477,0.049911998212337494,,ZTF
58328.18179399986,g,18.163400650024414,0.09144800156354904,,ZTF
58325.24015050009,r,17.88319969177246,0.06071100011467934,,ZTF
58325.20106479991,g,18.144899368286133,0.08546199649572372,,ZTF
58322.26363429986,r,18.001100540161133,0.055472999811172485,,ZTF
58322.20024310006,g,18.11440086364746,0.06270900368690491,,ZTF
58319.197743100114,g,18.3435001373291,0.0947830006480217,,ZTF
58314.320833299775,g,18.72279930114746,0.06701599806547165,,ZTF
58314.216273100115,r,18.575000762939453,0.06344500184059143,,ZTF
58312.424589,c,18.769308,0.049749,,ATLAS
58344.376186,c,19.381183,0.127358,,ATLAS
58054.221698,o,18.92762,0.188865,,ATLAS
58310.425566,o,19.400127,0.181699,,ATLAS
58318.400792,o,18.380722,0.054744,,ATLAS
58320.409895,o,18.178445,0.058988,,ATLAS
58322.386659,o,18.170663,0.077578,,ATLAS
58324.402842,o,17.93608,0.063605,,ATLAS
58328.366507,o,17.895264,0.056926,,ATLAS
58330.383146,o,17.945715,0.065645,,ATLAS
58334.387444,o,18.104842,0.184518,,ATLAS
58338.373177,o,18.048836,0.05504,,ATLAS
58342.339453,o,18.88137,0.118414,,ATLAS
58348.336967,o,19.038941,0.089915,,ATLAS
58360.311835,o,19.47928,0.188923,,ATLAS
58364.301551,o,19.612731,0.209413,,ATLAS
58366.283864,o,19.710962,0.182899,,ATLAS
58372.27386,o,19.99395,0.203171,,ATLAS
