time,band,magnitude,e_magnitude,diffmaglim,telescope
57863.372292,c,17.640523,0.211632,,ATLAS
58161.51807,c,17.839157,0.137448,,ATLAS
58193.400842,c,17.990008,0.14158,,ATLAS
58250.304935,c,18.13905,0.20865,,ATLAS
58493.555138,c,18.751218,0.214963,,ATLAS
58117.553414,o,16.812768,0.078498,,ATLAS
58121.552717,o,17.283751,0.182242,,ATLAS
58131.544894,o,17.34317,0.175869,,ATLAS
58151.531088,o,17.447144,0.143824,,ATLAS
58181.438716,o,17.08931,0.191633,,ATLAS
58184.372672,o,17.491669,0.128033,,ATLAS
58185.379587,o,17.68842,0.154063,,ATLAS
58213.385985,o,17.289894,0.128873,,ATLAS
58219.354231,o,17.186299,0.152407,,ATLAS
58233.340603,o,17.342003,0.138987,,ATLAS
58245.315858,o,17.663721,0.171646,,ATLAS
58465.613482,o,17.410557,0.095899,,ATLAS
58479.588537,o,16.893553,0.119987,,ATLAS
58523.504938,o,17.595796,0.179893,,ATLAS
58565.455973,o,17.252785,0.13954,,ATLAS
58579.379135,o,17.891083,0.205305,,ATLAS
58613.253299,o,17.466402,0.140911,,ATLAS
58821.59765,o,17.448472,0.194752,,ATLAS
58825.581925,o,17.470554,0.199274,,ATLAS
58827.598011,o,17.95548,0.159636,,ATLAS
58839.554199,o,17.556106,0.216588,,ATLAS
58851.514353,o,17.609492,0.158166,,ATLAS
58855.508748,o,17.314813,0.144402,,ATLAS
