time,band,magnitude,e_magnitude,diffmaglim,telescope
58339.90432,G,18.41,0.1,,Gaia
58339.97832,G,18.44,0.1,,Gaia
58379.20471,G,20.82,0.1,,Gaia
58345.17826389987,g,19.450000762939453,0.12612299621105194,,ZTF
58337.19069440011,r,18.33880043029785,0.07805600017309189,,ZTF
58331.161365699954,r,19.208900451660156,0.1240599974989891,,ZTF
58338.335819,c,18.451642,0.040398,,ATLAS
58342.327176,c,18.681965,0.051438,,ATLAS
58332.324733,o,18.937622,0.121157,,ATLAS
58336.307916,o,18.456159,0.11377,,ATLAS
58344.257518,o,18.468326,0.088097,,ATLAS
58348.277109,o,18.906094,0.157642,,ATLAS
58362.264041,o,19.734153,0.193008,,ATLAS
