time,band,magnitude,e_magnitude,diffmaglim,telescope
58395.384465,c,16.923102,0.018231,,ATLAS
58398.357434,c,17.116669,0.025986,,ATLAS
58402.346773,c,17.395325,0.026751,,ATLAS
58403.364025,c,17.433679,0.024769,,ATLAS
58427.300652,c,18.676882,0.075084,,ATLAS
58430.287937,c,18.741595,0.076781,,ATLAS
58431.300473,c,18.777389,0.082473,,ATLAS
58434.270417,c,18.903597,0.094461,,ATLAS
58435.287881,c,18.900305,0.108793,,ATLAS
58455.238032,c,19.457508,0.154298,,ATLAS
57956.48036,o,18.714151,0.184323,,ATLAS
58376.384985,o,18.519694,0.084164,,ATLAS
58377.386147,o,18.167264,0.064313,,ATLAS
58378.383767,o,17.813525,0.04545,,ATLAS
58379.386759,o,17.560382,0.037828,,ATLAS
58380.380909,o,17.326419,0.035116,,ATLAS
58382.383496,o,17.022892,0.028773,,ATLAS
58383.38897,o,16.867092,0.027948,,ATLAS
58384.366452,o,16.908564,0.082175,,ATLAS
58385.405243,o,16.771796,0.019713,,ATLAS
58386.394341,o,16.806029,0.060399,,ATLAS
58387.350283,o,16.700141,0.025457,,ATLAS
58389.353176,o,16.665587,0.019089,,ATLAS
58390.364359,o,16.639886,0.017259,,ATLAS
58391.355786,o,16.652624,0.020624,,ATLAS
58392.36738,o,16.652437,0.016608,,ATLAS
58393.353624,o,16.65871,0.016942,,ATLAS
58394.350982,o,16.637916,0.016399,,ATLAS
58396.346121,o,16.727269,0.03413,,ATLAS
58397.346116,o,16.737261,0.018894,,ATLAS
58406.311805,o,17.181267,0.025566,,ATLAS
58407.317434,o,17.225742,0.029998,,ATLAS
58409.315747,o,17.345071,0.045573,,ATLAS
58413.303009,o,17.494583,0.046647,,ATLAS
58416.310865,o,17.74041,0.069093,,ATLAS
58417.21173,o,17.732515,0.064951,,ATLAS
58423.28628,o,17.984597,0.052112,,ATLAS
58424.222753,o,18.024682,0.05638,,ATLAS
58433.209017,o,18.532679,0.184263,,ATLAS
58436.199415,o,18.34044,0.108411,,ATLAS
58442.201826,o,18.542463,0.207958,,ATLAS
58443.228485,o,18.536103,0.160799,,ATLAS
58444.204698,o,18.563683,0.208054,,ATLAS
58448.198003,o,18.477757,0.09705,,ATLAS
58449.23263,o,18.571491,0.094516,,ATLAS
58450.200853,o,18.60904,0.111634,,ATLAS
58451.245705,o,18.737437,0.102142,,ATLAS
58460.213309,o,18.879627,0.123663,,ATLAS
58468.214986,o,18.993827,0.125995,,ATLAS
