time,band,magnitude,e_magnitude,diffmaglim,telescope
58402.470715,c,19.328486,0.122479,,ATLAS
57322.445775,o,17.490712,0.205488,,ATLAS
58376.508004,o,19.290172,0.182773,,ATLAS
58378.507814,o,19.014778,0.137235,,ATLAS
58380.511206,o,18.787867,0.135337,,ATLAS
58382.486746,o,18.639312,0.119496,,ATLAS
58383.545496,o,18.607123,0.082337,,ATLAS
58390.485894,o,18.547917,0.101385,,ATLAS
58392.494525,o,18.638175,0.10567,,ATLAS
58394.475073,o,18.595016,0.09635,,ATLAS
58396.467127,o,18.779815,0.158375,,ATLAS
58406.436553,o,19.138691,0.158076,,ATLAS
