time,band,magnitude,e_magnitude,diffmaglim,telescope
58376.27184,G,18.78,0.1,,Gaia
58376.34584,G,18.78,0.1,,Gaia
58549.81524,G,20.53,0.1,,Gaia
58397.636908,c,17.429217,0.041948,,ATLAS
58398.607333,c,17.439172,0.048569,,ATLAS
58402.622758,c,17.743491,0.034077,,ATLAS
58405.609673,c,17.981766,0.04071,,ATLAS
58429.557854,c,19.038073,0.077243,,ATLAS
58430.559214,c,19.180815,0.123745,,ATLAS
58434.542372,c,19.065448,0.106781,,ATLAS
58454.489962,c,19.436609,0.102467,,ATLAS
58458.4445,c,19.665995,0.143232,,ATLAS
58462.450352,c,19.617105,0.178925,,ATLAS
58378.640925,o,18.115332,0.161085,,ATLAS
58380.638096,o,17.84599,0.122768,,ATLAS
58381.632491,o,17.73387,0.052717,,ATLAS
58382.626794,o,17.566875,0.057153,,ATLAS
58383.564421,o,17.505039,0.04003,,ATLAS
58384.536234,o,17.384366,0.053492,,ATLAS
58385.56629,o,17.289481,0.053023,,ATLAS
58386.490116,o,17.476726,0.107467,,ATLAS
58387.56809,o,17.303731,0.052308,,ATLAS
58392.635445,o,17.15475,0.057755,,ATLAS
58394.625108,o,17.159056,0.024683,,ATLAS
58396.624218,o,17.170671,0.046821,,ATLAS
58403.61139,o,17.459768,0.044819,,ATLAS
58406.587685,o,17.633137,0.042055,,ATLAS
58409.591728,o,17.744,0.071968,,ATLAS
58413.509414,o,18.069687,0.071928,,ATLAS
58417.570863,o,18.180209,0.094716,,ATLAS
58418.569615,o,18.112546,0.094701,,ATLAS
58423.580758,o,18.476494,0.070109,,ATLAS
58424.560655,o,18.527706,0.08199,,ATLAS
58427.563975,o,18.517527,0.070615,,ATLAS
58428.551397,o,18.70947,0.08549,,ATLAS
58431.541797,o,18.739266,0.128608,,ATLAS
58432.543899,o,18.815474,0.142116,,ATLAS
58435.538667,o,18.322259,0.156901,,ATLAS
58436.511804,o,18.649159,0.107761,,ATLAS
58437.512898,o,18.766597,0.208521,,ATLAS
58438.513936,o,18.581423,0.153239,,ATLAS
58441.523667,o,18.825202,0.107636,,ATLAS
58442.464101,o,18.845853,0.146078,,ATLAS
58447.506474,o,18.762618,0.18212,,ATLAS
58448.496669,o,19.021993,0.200119,,ATLAS
58449.501457,o,18.941999,0.172215,,ATLAS
58450.499465,o,19.028179,0.15609,,ATLAS
58451.492499,o,18.887708,0.14508,,ATLAS
58452.48525,o,19.212566,0.164478,,ATLAS
58455.439172,o,19.086291,0.162061,,ATLAS
58464.418962,o,19.075239,0.171414,,ATLAS
58488.387759,o,19.348537,0.212017,,ATLAS
