time,band,magnitude,e_magnitude,diffmaglim,telescope
58393.25953,G,16.73,0.1,,Gaia
58393.33354,G,16.72,0.1,,Gaia
58522.52725,G,19.47,0.1,,Gaia
58572.32941,G,20.06,0.1,,Gaia
58428.35420140019,g,20.290700912475586,0.1674100011587143,,ZTF
58395.630345,c,16.98264,0.031093,,ATLAS
58398.609692,c,17.163896,0.048869,,ATLAS
58399.617399,c,17.193666,0.037533,,ATLAS
58402.609582,c,17.360125,0.0357,,ATLAS
58403.618449,c,17.385669,0.038199,,ATLAS
58427.559023,c,18.719727,0.145679,,ATLAS
58430.559394,c,18.573525,0.127999,,ATLAS
58431.550219,c,18.58953,0.124423,,ATLAS
58434.54017,c,18.838068,0.139794,,ATLAS
58435.537591,c,18.568536,0.12425,,ATLAS
58454.487186,c,18.994471,0.183063,,ATLAS
58455.53246,c,19.233339,0.118835,,ATLAS
58458.444981,c,19.147457,0.208876,,ATLAS
58462.438368,c,19.068811,0.173559,,ATLAS
58486.39378,c,19.505965,0.197454,,ATLAS
58490.375781,c,18.611771,0.182215,,ATLAS
58376.638195,o,17.674751,0.120108,,ATLAS
58378.638988,o,17.093415,0.087794,,ATLAS
58379.648004,o,16.915524,0.115495,,ATLAS
58380.63615,o,16.752154,0.064115,,ATLAS
58382.629427,o,16.57326,0.031416,,ATLAS
58383.642267,o,16.531416,0.05232,,ATLAS
58385.571062,o,16.444762,0.03088,,ATLAS
58386.491796,o,16.486557,0.085514,,ATLAS
58387.558383,o,16.38378,0.031047,,ATLAS
58389.601134,o,16.418685,0.042885,,ATLAS
58391.625687,o,16.444973,0.05049,,ATLAS
58392.626169,o,16.564929,0.040105,,ATLAS
58393.617754,o,16.532642,0.052936,,ATLAS
58394.619661,o,16.509794,0.029409,,ATLAS
58396.615861,o,16.604023,0.027507,,ATLAS
58397.606108,o,16.634889,0.032671,,ATLAS
58401.614504,o,16.808631,0.033342,,ATLAS
58406.584286,o,17.043187,0.046154,,ATLAS
58407.589554,o,17.120881,0.050329,,ATLAS
58409.576335,o,17.142202,0.044681,,ATLAS
58413.559116,o,17.387107,0.061189,,ATLAS
58419.559824,o,17.673991,0.093235,,ATLAS
58423.552726,o,17.903679,0.088678,,ATLAS
58424.56131,o,17.990388,0.115015,,ATLAS
58428.543457,o,17.931656,0.090608,,ATLAS
58432.541847,o,18.150395,0.114456,,ATLAS
58436.509954,o,18.224702,0.119445,,ATLAS
58437.518263,o,18.272891,0.146342,,ATLAS
58438.512881,o,18.345715,0.186844,,ATLAS
58442.460624,o,18.294267,0.133732,,ATLAS
58443.464003,o,18.272248,0.143814,,ATLAS
58448.495306,o,18.658205,0.203951,,ATLAS
58449.485958,o,18.579937,0.176845,,ATLAS
58450.497762,o,18.622988,0.173551,,ATLAS
58451.487883,o,18.427375,0.142184,,ATLAS
58460.427916,o,18.866001,0.216606,,ATLAS
58470.390147,o,18.819699,0.213671,,ATLAS
