time,band,magnitude,e_magnitude,diffmaglim,telescope
58803.18898149999,g,17.87579917907715,0.12745699286460876,,ZTF
58432.275080999825,r,17.600400924682617,0.050971999764442444,,ZTF
58429.27306709997,r,17.05970001220703,0.10121099650859833,,ZTF
58429.23576389998,g,18.405000686645508,0.12218300253152847,,ZTF
58426.26560189994,r,17.21299934387207,0.07705400139093399,,ZTF
58423.31223380007,r,17.008899688720703,0.07272300124168396,,ZTF
58397.400613400154,r,16.572999954223633,0.04301600158214569,,ZTF
58397.374884299934,g,17.000099182128906,0.056412000209093094,,ZTF
58390.25887730019,r,17.076499938964844,0.043501000851392746,,ZTF
58402.543827,c,16.491467,0.077209,,ATLAS
58430.484922,c,17.618488,0.177555,,ATLAS
58454.407891,c,17.99033,0.216378,,ATLAS
58462.375216,c,17.96525,0.211804,,ATLAS
58392.56153,o,17.009923,0.128289,,ATLAS
58394.542832,o,16.776451,0.206646,,ATLAS
58396.53986,o,16.741417,0.105888,,ATLAS
58406.512219,o,16.575176,0.171532,,ATLAS
58410.493278,o,16.594796,0.129508,,ATLAS
58424.481694,o,17.025353,0.130392,,ATLAS
