time,band,magnitude,e_magnitude,diffmaglim,telescope
58433.40863,G,17.9,0.1,,Gaia
58452.33494,G,18.52,0.1,,Gaia
58452.40894,G,18.49,0.1,,Gaia
58620.68039,G,20.72,0.1,,Gaia
58636.93652,G,20.78,0.1,,Gaia
58431.12682869984,r,17.581300735473633,0.0917389988899231,,ZTF
58427.08398150001,r,17.630199432373047,0.1335339993238449,,ZTF
58425.278126,c,17.942409,0.043861,,ATLAS
58429.267487,c,18.052016,0.046773,,ATLAS
58433.236524,c,17.678623,0.162364,,ATLAS
58461.203985,c,19.190298,0.20588,,ATLAS
58209.630662,o,10.846725,0.197665,,ATLAS
58413.295868,o,17.926888,0.075381,,ATLAS
58415.311652,o,17.817577,0.188404,,ATLAS
58416.312307,o,17.701202,0.072862,,ATLAS
58417.300319,o,17.664594,0.057852,,ATLAS
58427.261357,o,17.585004,0.04568,,ATLAS
58431.25327,o,17.638638,0.045833,,ATLAS
58441.229344,o,17.898092,0.076499,,ATLAS
58443.224621,o,17.906055,0.0769,,ATLAS
58447.230392,o,18.091535,0.083308,,ATLAS
58449.221492,o,18.092877,0.07243,,ATLAS
58451.217998,o,18.312107,0.102168,,ATLAS
58453.224604,o,18.395515,0.090935,,ATLAS
58455.205019,o,18.657253,0.144078,,ATLAS
