time,band,magnitude,e_magnitude,diffmaglim,telescope
58139.12453,G,18.06,0.1,,Gaia
58139.19853,G,18.05,0.1,,Gaia
58277.99723,G,20.16,0.1,,Gaia
58138.673038,c,18.197417,0.112638,,ATLAS
58162.634529,c,19.44271,0.114282,,ATLAS
59197.64875,c,19.535856,0.207795,,ATLAS
59617.06954,c,19.636786,0.19385,,ATLAS
59700.385676,c,19.462504,0.179112,,ATLAS
57893.376723,o,18.690713,0.189842,,ATLAS
58118.625115,o,18.905162,0.161702,,ATLAS
58120.618286,o,18.668444,0.127988,,ATLAS
58122.617983,o,18.394564,0.104216,,ATLAS
58124.597898,o,18.464564,0.126347,,ATLAS
58128.609863,o,18.076359,0.070086,,ATLAS
58130.613619,o,17.986591,0.043158,,ATLAS
58132.66805,o,17.97696,0.140763,,ATLAS
58136.662465,o,17.846595,0.094598,,ATLAS
58140.6386,o,18.016196,0.064376,,ATLAS
58146.66455,o,18.3897,0.189076,,ATLAS
58148.599613,o,18.211047,0.070134,,ATLAS
58149.461519,o,18.145456,0.118915,,ATLAS
58152.61583,o,18.155718,0.167709,,ATLAS
58156.631061,o,18.676936,0.136971,,ATLAS
58160.627293,o,18.636553,0.112357,,ATLAS
58164.61787,o,18.874478,0.151519,,ATLAS
58184.575769,o,19.120816,0.20069,,ATLAS
