time,band,magnitude,e_magnitude,diffmaglim,telescope
58473.09638,G,19.13,0.1,,Gaia
58473.17038,G,19.13,0.1,,Gaia
58499.90809,G,18.94,0.1,,Gaia
58500.08424,G,18.92,0.1,,Gaia
58527.82542,G,19.63,0.1,,Gaia
58527.89942,G,19.63,0.1,,Gaia
58507.15885420004,g,19.072099685668945,0.15210199356079102,,ZTF
58493.15990740014,g,18.94969940185547,0.10045100003480911,,ZTF
58493.121076399926,r,18.930200576782227,0.09132999926805496,,ZTF
58490.14005789999,r,18.899099349975586,0.0955360010266304,,ZTF
58486.10362270009,r,18.946300506591797,0.08577500283718109,,ZTF
58482.12266199989,g,18.9281005859375,0.10733699798583984,,ZTF
58475.13135420019,r,19.011600494384766,0.1213110014796257,,ZTF
58472.17755790008,g,19.2007999420166,0.17277300357818604,,ZTF
58472.11304400023,r,19.221500396728516,0.17470699548721313,,ZTF
58469.13991900021,g,19.171100616455078,0.10045500099658966,,ZTF
58469.09858800005,r,19.21179962158203,0.1090409979224205,,ZTF
58456.344902,c,19.732438,0.172781,,ATLAS
58460.331335,c,19.51451,0.139974,,ATLAS
58488.269397,c,18.849594,0.061286,,ATLAS
58492.27514,c,18.94082,0.0661,,ATLAS
58472.282453,o,19.173576,0.192593,,ATLAS
58480.262658,o,19.136161,0.139682,,ATLAS
58486.257929,o,19.059252,0.136662,,ATLAS
58490.261432,o,19.066168,0.111744,,ATLAS
58494.248186,o,19.03896,0.134056,,ATLAS
58496.24998,o,19.031249,0.152676,,ATLAS
58498.250326,o,19.152194,0.177232,,ATLAS
58500.243047,o,19.027485,0.117537,,ATLAS
58502.248023,o,19.099703,0.172733,,ATLAS
58506.243847,o,19.005628,0.103059,,ATLAS
58508.23756,o,18.939763,0.121524,,ATLAS
58510.232555,o,19.10049,0.158639,,ATLAS
