time,band,magnitude,e_magnitude,diffmaglim,telescope
58516.67072,G,17.91,0.1,,Gaia
58516.74473,G,17.92,0.1,,Gaia
58518.61627,c,17.970545,0.047431,,ATLAS
57893.394545,o,16.930646,0.053348,,ATLAS
58508.58295,o,18.549882,0.161291,,ATLAS
58510.611496,o,18.216469,0.118309,,ATLAS
58512.595141,o,18.027162,0.08217,,ATLAS
58516.606506,o,17.745372,0.044658,,ATLAS
58520.598274,o,17.659466,0.064794,,ATLAS
58528.575382,o,17.874112,0.068677,,ATLAS
58532.593938,o,18.545974,0.119149,,ATLAS
58540.55999,o,18.678197,0.151906,,ATLAS
58544.562072,o,18.800446,0.191348,,ATLAS
58613.398281,o,19.474521,0.168098,,ATLAS
