time,band,magnitude,e_magnitude,diffmaglim,telescope
58520.65685,G,19.79,0.1,,Gaia
58520.73087,G,19.65,0.1,,Gaia
58557.88182,G,19.01,0.1,,Gaia
58557.95583,G,19.03,0.1,,Gaia
58558.132,G,18.93,0.1,,Gaia
58558.20602,G,18.99,0.1,,Gaia
58566.96119,G,19.22,0.1,,Gaia
58567.13737,G,19.3,0.1,,Gaia
58567.21138,G,19.31,0.1,,Gaia
58606.3342708,r,20.198999404907227,0.20941999554634094,,ZTF
58584.39430559985,r,19.74519920349121,0.18639199435710907,,ZTF
58573.43729169993,r,19.468299865722656,0.15863800048828125,,ZTF
58569.37725690007,r,19.43470001220703,0.2030480057001114,,ZTF
58560.4384606001,r,19.07900047302246,0.10944300144910812,,ZTF
58557.459085599985,g,19.880699157714844,0.2632550001144409,,ZTF
58557.37381940009,r,18.833900451660156,0.16110900044441223,,ZTF
58536.56487,o,18.134695,0.119765,,ATLAS
58540.606402,o,18.456409,0.131048,,ATLAS
58544.606311,o,18.328678,0.10853,,ATLAS
58556.583553,o,18.791539,0.163322,,ATLAS
58560.545497,o,18.903259,0.140356,,ATLAS
58570.558125,o,19.045483,0.205777,,ATLAS
