time,band,magnitude,e_magnitude,diffmaglim,telescope
58584.23353009997,g,19.87190055847168,0.20755599439144135,,ZTF
58584.18414349994,r,19.437599182128906,0.13241000473499298,,ZTF
58580.234606499784,g,19.604700088500977,0.1416500061750412,,ZTF
58580.212511599995,r,19.16670036315918,0.10924199968576431,,ZTF
58575.21380789997,r,19.1023006439209,0.24517400562763214,,ZTF
58572.22799770022,r,18.917800903320312,0.14482200145721436,,ZTF
58572.205868099816,g,19.086999893188477,0.14393900334835052,,ZTF
58567.22621530015,r,18.712600708007812,0.06585600227117538,,ZTF
58567.20512730023,g,18.790800094604492,0.10120700299739838,,ZTF
58562.33959490014,r,18.70199966430664,0.15275099873542786,,ZTF
58556.20342590008,r,18.67329978942871,0.08712899684906006,,ZTF
58541.257638900075,g,19.093000411987305,0.1577710062265396,,ZTF
58538.28099540016,g,19.1830997467041,0.21167799830436707,,ZTF
58575.396945,c,19.134636,0.117945,,ATLAS
58579.391568,c,19.516333,0.113926,,ATLAS
58583.363531,c,19.592004,0.200454,,ATLAS
58541.455344,o,19.206884,0.179265,,ATLAS
58545.440698,o,18.997099,0.147057,,ATLAS
58549.462083,o,18.609884,0.150914,,ATLAS
58557.38626,o,18.658697,0.082196,,ATLAS
58565.401903,o,18.573633,0.116685,,ATLAS
58567.407536,o,18.941229,0.177152,,ATLAS
58569.39203,o,18.852533,0.128727,,ATLAS
58571.386246,o,18.834488,0.090429,,ATLAS
58573.37749,o,18.891421,0.13477,,ATLAS
58577.380585,o,18.963327,0.148536,,ATLAS
58581.378531,o,19.140047,0.168594,,ATLAS
