time,band,magnitude,e_magnitude,diffmaglim,telescope
58608.31601,G,16.89,0.1,,Gaia
58608.39001,G,16.89,0.1,,Gaia
58630.56459,G,17.43,0.1,,Gaia
58630.6386,G,17.42,0.1,,Gaia
58672.3392,G,19.34,0.1,,Gaia
58697.61302,G,20.01,0.1,,Gaia
58700.31026619999,g,20.287900924682617,0.18154600262641907,,ZTF
58696.311481500044,g,20.34480094909668,0.22731800377368927,,ZTF
58682.21993059991,g,19.927799224853516,0.28608599305152893,,ZTF
58681.22023149999,g,19.704599380493164,0.2251809984445572,,ZTF
58674.342106500175,g,19.81839942932129,0.16669900715351105,,ZTF
58668.28393519996,g,19.839399337768555,0.1476680040359497,,ZTF
58654.33968750015,r,19.066200256347656,0.18760399520397186,,ZTF
58654.32258100016,g,19.548599243164062,0.19205500185489655,,ZTF
58653.424305600114,r,18.861499786376953,0.11083299666643143,,ZTF
58653.36874999991,g,19.537500381469727,0.18934300541877747,,ZTF
58650.348217600025,r,18.66029930114746,0.07983499765396118,,ZTF
58647.3885764,g,19.315000534057617,0.12481500208377838,,ZTF
58647.307187499944,r,18.50429916381836,0.07837799936532974,,ZTF
58644.4354514,g,19.286100387573242,0.10426100343465805,,ZTF
58644.32609950006,r,18.405000686645508,0.06189800053834915,,ZTF
58641.42954860022,g,19.171100616455078,0.1052279993891716,,ZTF
58641.41285880003,r,18.16029930114746,0.051562998443841934,,ZTF
58638.369398099836,g,19.034500122070312,0.0906440019607544,,ZTF
58638.30503469985,r,17.947399139404297,0.05380399897694588,,ZTF
58635.4535416998,g,18.864200592041016,0.09474500268697739,,ZTF
58635.387557900045,r,17.641399383544922,0.05012600123882294,,ZTF
58632.43072920013,g,18.72570037841797,0.08362899720668793,,ZTF
58632.31938660005,r,17.326200485229492,0.041933998465538025,,ZTF
58627.40736109996,r,16.940500259399414,0.04781600087881088,,ZTF
58618.255995399784,r,16.430700302124023,0.03652000054717064,,ZTF
58616.47445600014,g,17.594200134277344,0.047168001532554626,,ZTF
58616.430439800024,r,16.44029998779297,0.034377001225948334,,ZTF
58612.44613429997,r,16.567100524902344,0.04910000041127205,,ZTF
58612.40168979997,g,17.55229949951172,0.05270199850201607,,ZTF
58608.49640050018,r,16.779600143432617,0.035537999123334885,,ZTF
58608.4702198999,r,16.770599365234375,0.03925200179219246,,ZTF
58608.40917820018,g,17.103599548339844,0.03743100166320801,,ZTF
58605.49165510014,g,16.88949966430664,0.031011000275611877,,ZTF
58605.431886599865,r,16.866300582885742,0.04371099919080734,,ZTF
58604.607022,c,16.938,0.024653,,ATLAS
58612.516673,c,16.928275,0.024536,,ATLAS
58636.469897,c,18.165048,0.059609,,ATLAS
58606.626602,o,17.021802,0.093798,,ATLAS
58610.609938,o,16.737904,0.021052,,ATLAS
58616.520467,o,16.448855,0.040855,,ATLAS
58618.505549,o,16.506154,0.026285,,ATLAS
58620.504403,o,16.594608,0.024966,,ATLAS
58622.476181,o,16.715665,0.035061,,ATLAS
58626.490867,o,16.982987,0.040581,,ATLAS
58630.486036,o,17.258438,0.042512,,ATLAS
58634.473192,o,17.605783,0.056795,,ATLAS
58638.47739,o,18.117534,0.094378,,ATLAS
58642.461187,o,18.34617,0.113653,,ATLAS
58644.422825,o,18.295733,0.122231,,ATLAS
58646.475758,o,18.385592,0.122403,,ATLAS
58648.458113,o,18.667531,0.16847,,ATLAS
58650.484676,o,18.684447,0.185948,,ATLAS
58654.461891,o,18.904668,0.200807,,ATLAS
58656.491186,o,18.958901,0.201035,,ATLAS
58658.454289,o,19.074227,0.192108,,ATLAS
