time,band,magnitude,e_magnitude,diffmaglim,telescope
58665.49884,G,18.89,0.1,,Gaia
58665.57285,G,18.91,0.1,,Gaia
58697.08928,G,20.3,0.1,,Gaia
58697.16329,G,20.31,0.1,,Gaia
58691.2158102002,g,20.589799880981445,0.20568999648094177,,ZTF
58691.20692129992,r,20.12459945678711,0.1496949940919876,,ZTF
58681.26587959984,r,19.689300537109375,0.2081660032272339,,ZTF
58678.22649310017,r,19.67259979248047,0.1681469976902008,,ZTF
58672.31207180023,g,20.091999053955078,0.12505599856376648,,ZTF
58672.216250000056,r,19.173999786376953,0.0950699970126152,,ZTF
58669.31837960007,r,19.03420066833496,0.08116500079631805,,ZTF
58666.26361110015,r,18.76609992980957,0.08737900108098984,,ZTF
58666.24936340004,g,19.638999938964844,0.09363900125026703,,ZTF
58663.31223380007,r,18.496200561523438,0.0664530023932457,,ZTF
58660.245034699794,r,18.265499114990234,0.0631520003080368,,ZTF
58660.20108800009,g,19.09160041809082,0.0821869969367981,,ZTF
58657.26326389983,r,18.058399200439453,0.055633001029491425,,ZTF
58657.22297450015,g,18.754499435424805,0.06876599788665771,,ZTF
58653.30293980008,g,18.329599380493164,0.06478600203990936,,ZTF
58653.203518500086,r,17.874000549316406,0.05784500017762184,,ZTF
58650.27112270007,r,17.788299560546875,0.05883299931883812,,ZTF
58650.21811340004,g,18.011199951171875,0.057746998965740204,,ZTF
58647.26126160007,r,17.862699508666992,0.0593469999730587,,ZTF
58647.22380790021,g,17.876699447631836,0.053598999977111816,,ZTF
58644.28561339993,r,17.970500946044922,0.048778001219034195,,ZTF
58644.22141199978,g,17.9773006439209,0.04918700084090233,,ZTF
58641.305416699965,r,18.532800674438477,0.06485900282859802,,ZTF
58641.22834490007,g,18.43899917602539,0.07081899791955948,,ZTF
58638.341898099985,g,19.403499603271484,0.10656300187110901,,ZTF
58638.27984949993,r,19.72599983215332,0.16503000259399414,,ZTF
58664.378118,c,19.020069,0.105474,,ATLAS
58668.260448,c,19.222348,0.191642,,ATLAS
58700.381099,c,20.114687,0.202867,,ATLAS
58642.405527,o,18.450421,0.089205,,ATLAS
58644.383468,o,18.140411,0.068066,,ATLAS
58646.39808,o,17.940757,0.061727,,ATLAS
58648.374279,o,18.03276,0.064242,,ATLAS
58650.418623,o,17.937091,0.073869,,ATLAS
58654.382475,o,18.140394,0.073357,,ATLAS
58656.379196,o,18.157504,0.06713,,ATLAS
58658.382866,o,18.256518,0.098445,,ATLAS
58660.438673,o,18.459772,0.182689,,ATLAS
58662.412693,o,18.50349,0.094141,,ATLAS
58666.484901,o,18.772694,0.123748,,ATLAS
58676.256069,o,18.827296,0.210484,,ATLAS
58680.347765,o,19.554028,0.20549,,ATLAS
