time,band,magnitude,e_magnitude,diffmaglim,telescope
58727.32554400014,r,20.34480094909668,0.18591099977493286,,ZTF
58719.434456000105,r,20.024099349975586,0.18840999901294708,,ZTF
58706.40077550011,r,19.900800704956055,0.1379770040512085,,ZTF
58703.420497700106,r,19.76059913635254,0.11481499671936035,,ZTF
58700.461041700095,g,20.750499725341797,0.22429099678993225,,ZTF
58697.43759260001,r,19.786100387573242,0.16441500186920166,,ZTF
58694.39886569977,r,19.65489959716797,0.1062680035829544,,ZTF
58691.396851900034,r,19.478900909423828,0.1465419977903366,,ZTF
58688.46153939981,g,20.452699661254883,0.33183199167251587,,ZTF
58688.43784719985,r,19.46940040588379,0.15640300512313843,,ZTF
58682.39778940007,r,19.445199966430664,0.1490519940853119,,ZTF
58676.46170140011,r,19.28689956665039,0.10667099803686142,,ZTF
58673.479027799796,g,20.481700897216797,0.2577280104160309,,ZTF
58673.447106500156,r,19.14109992980957,0.08743699640035629,,ZTF
58670.463506899774,r,19.186500549316406,0.10639700293540955,,ZTF
58670.440787000116,g,20.267799377441406,0.15023699402809143,,ZTF
58667.46384260012,r,19.10849952697754,0.09045899659395218,,ZTF
58667.45858799992,g,20.178699493408203,0.23245100677013397,,ZTF
58661.47649310017,g,20.015600204467773,0.22220300137996674,,ZTF
58655.44137729984,r,18.582599639892578,0.12007100135087967,,ZTF
58652.45748839993,r,18.440000534057617,0.10197799652814865,,ZTF
58646.447789399885,g,19.12299919128418,0.10449200123548508,,ZTF
58634.614346,c,18.087132,0.123616,,ATLAS
58642.603897,c,18.230425,0.074635,,ATLAS
57942.563549,o,18.43335,0.133485,,ATLAS
58628.576908,o,18.373535,0.140516,,ATLAS
58630.580776,o,18.214615,0.138093,,ATLAS
58636.569276,o,17.858477,0.074441,,ATLAS
58644.546495,o,17.959748,0.063262,,ATLAS
58646.53753,o,18.009489,0.092623,,ATLAS
58648.59554,o,18.174638,0.091946,,ATLAS
58650.598209,o,18.227082,0.096916,,ATLAS
58652.528016,o,18.218866,0.162203,,ATLAS
58654.535259,o,18.387966,0.131798,,ATLAS
58656.58123,o,18.299163,0.128587,,ATLAS
58668.566861,o,19.054075,0.208557,,ATLAS
