time,band,magnitude,e_magnitude,diffmaglim,telescope
58789.22637729999,r,19.220600128173828,0.1589840054512024,,ZTF
58789.20512730023,g,20.014699935913086,0.2406039983034134,,ZTF
58785.2471758998,r,19.267900466918945,0.17069099843502045,,ZTF
58782.22825230006,g,20.354400634765625,0.3437190055847168,,ZTF
58779.220069400035,r,19.887100219726562,0.1989700049161911,,ZTF
58779.18309029983,g,20.093399047851562,0.19529999792575836,,ZTF
58775.189571800176,r,19.087400436401367,0.11181899905204773,,ZTF
58775.1823148001,g,19.949399948120117,0.18613600730895996,,ZTF
58768.19008099986,r,18.856399536132812,0.20901399850845337,,ZTF
58764.25093750004,g,19.73349952697754,0.2957870066165924,,ZTF
58764.18657410005,r,18.87459945678711,0.13808900117874146,,ZTF
58761.272685199976,g,19.614299774169922,0.19551099836826324,,ZTF
58758.352881900035,g,19.496299743652344,0.18326300382614136,,ZTF
58758.27295139991,r,18.71150016784668,0.12307699769735336,,ZTF
58750.27341439994,r,18.532100677490234,0.10298699885606766,,ZTF
58747.29348379979,g,19.300399780273438,0.1597139984369278,,ZTF
58744.356805600226,r,18.4281005859375,0.08828999847173691,,ZTF
58741.20451389998,g,18.956600189208984,0.20411300659179688,,ZTF
58735.31336810021,r,18.41550064086914,0.09764300286769867,,ZTF
58732.38068290008,g,18.964799880981445,0.10032700002193451,,ZTF
58726.31393520022,r,18.30139923095703,0.06001399829983711,,ZTF
58720.39797449997,g,18.772899627685547,0.11047500371932983,,ZTF
58720.37670140015,r,18.16189956665039,0.07282599806785583,,ZTF
58717.39814809989,g,18.811599731445312,0.12825100123882294,,ZTF
58717.33156249998,r,18.18320083618164,0.06810300052165985,,ZTF
58713.4401273001,g,18.73509979248047,0.21361300349235535,,ZTF
58713.355451399926,r,18.163299560546875,0.10452300310134888,,ZTF
58707.397638900205,g,18.72209930419922,0.1114950031042099,,ZTF
58704.50092589995,r,18.22260093688965,0.08862599730491638,,ZTF
58701.37993060006,r,18.19339942932129,0.06391199678182602,,ZTF
58701.37065970013,g,18.63129997253418,0.07488100230693817,,ZTF
58698.41487269988,r,18.248600006103516,0.07859700173139572,,ZTF
58694.431898099836,g,18.59830093383789,0.07484500110149384,,ZTF
58694.35516199982,r,18.29010009765625,0.07467900216579437,,ZTF
58690.45795139996,g,18.594999313354492,0.06862600147724152,,ZTF
58690.39864580007,r,18.31410026550293,0.061788998544216156,,ZTF
58681.41869209986,r,18.331100463867188,0.08872099965810776,,ZTF
58676.42363430001,g,18.59589958190918,0.07457000017166138,,ZTF
58673.44478010014,r,18.59429931640625,0.06698700040578842,,ZTF
58670.46118059987,r,18.811800003051758,0.10595700144767761,,ZTF
58670.43498839997,g,18.80940055847168,0.0758339986205101,,ZTF
58667.462036999874,r,18.966899871826172,0.08639299869537354,,ZTF
58667.4387730998,g,18.941699981689453,0.09380099922418594,,ZTF
58662.46736110002,r,19.402799606323242,0.13114400207996368,,ZTF
58662.43976850016,g,19.369400024414062,0.09785199910402298,,ZTF
58665.609326,c,19.248802,0.177146,,ATLAS
58666.495498,c,19.107281,0.13388,,ATLAS
58694.568883,c,18.410849,0.068476,,ATLAS
58702.441522,c,18.385868,0.066551,,ATLAS
58705.433391,c,18.381192,0.104527,,ATLAS
58721.447602,c,18.487928,0.085122,,ATLAS
58726.428294,c,18.623276,0.093135,,ATLAS
58730.422084,c,18.734185,0.094944,,ATLAS
58753.444418,c,19.011206,0.12971,,ATLAS
58778.327966,c,19.507263,0.192363,,ATLAS
58664.604447,o,19.21358,0.196522,,ATLAS
58668.566174,o,19.040525,0.177258,,ATLAS
58670.422649,o,18.850424,0.165204,,ATLAS
58673.580586,o,18.585109,0.130241,,ATLAS
58674.574521,o,18.475375,0.100446,,ATLAS
58676.443507,o,18.509705,0.123184,,ATLAS
58678.429867,o,18.535049,0.134631,,ATLAS
58679.425756,o,18.389,0.131717,,ATLAS
58680.465181,o,18.280045,0.143658,,ATLAS
58686.591034,o,18.412896,0.185803,,ATLAS
58688.541808,o,18.358836,0.095832,,ATLAS
58689.623749,o,18.365325,0.10432,,ATLAS
58690.496072,o,18.363207,0.08961,,ATLAS
58691.547107,o,18.374637,0.095589,,ATLAS
58692.45849,o,18.451555,0.103036,,ATLAS
58696.486799,o,18.38636,0.103778,,ATLAS
58699.626252,o,18.430905,0.124526,,ATLAS
58703.538309,o,18.220245,0.081561,,ATLAS
58704.413369,o,18.375033,0.100827,,ATLAS
