time,band,magnitude,e_magnitude,diffmaglim,telescope
58776.20461,G,18.85,0.1,,Gaia
58776.27861,G,18.87,0.1,,Gaia
58804.32455,G,19.74,0.1,,Gaia
58804.50068,G,19.77,0.1,,Gaia
58826.60353,G,20.58,0.1,,Gaia
58789.2111343001,r,18.944599151611328,0.14418800175189972,,ZTF
58789.18260420021,g,19.935199737548828,0.2879909873008728,,ZTF
58785.18113429984,g,19.62470054626465,0.17146499454975128,,ZTF
58785.0806828998,r,18.969499588012695,0.14075499773025513,,ZTF
58782.21079860022,g,19.730899810791016,0.23187600076198578,,ZTF
58782.18206019979,r,18.892799377441406,0.12520499527454376,,ZTF
58779.20979169989,r,18.821500778198242,0.11114200204610825,,ZTF
58779.18255789997,g,19.445499420166016,0.15977899730205536,,ZTF
58776.190277799964,r,18.785999298095703,0.10468599945306778,,ZTF
58776.182986100204,g,19.21299934387207,0.13834500312805176,,ZTF
58773.19204859994,r,18.909400939941406,0.21730099618434906,,ZTF
58773.18747689994,g,19.000600814819336,0.16679100692272186,,ZTF
58770.240046299994,r,18.412799835205078,0.1509850025177002,,ZTF
58770.11234949995,g,18.448999404907227,0.10388399660587311,,ZTF
58767.1885532001,r,18.060800552368164,0.14963999390602112,,ZTF
58761.20663189981,r,17.916500091552734,0.06933499872684479,,ZTF
58758.274756900035,r,17.830799102783203,0.05224199965596199,,ZTF
58750.255335600115,r,17.91629981994629,0.05545699968934059,,ZTF
58747.30028939992,g,17.944799423217773,0.06338000297546387,,ZTF
58747.252488399856,r,18.008100509643555,0.04187700152397156,,ZTF
58743.20571759995,g,18.242000579833984,0.09044700115919113,,ZTF
58740.35182869993,r,18.604299545288086,0.19320599734783173,,ZTF
58735.29886570014,r,18.86400032043457,0.19418999552726746,,ZTF
58732.29966440005,g,18.912799835205078,0.08850599825382233,,ZTF
58741.414345,o,18.496417,0.15023,,ATLAS
58744.267968,o,18.267436,0.077818,,ATLAS
58745.223311,o,18.126554,0.077094,,ATLAS
58751.31683,o,17.930241,0.054046,,ATLAS
58755.384617,o,17.857143,0.064871,,ATLAS
58759.368543,o,17.91234,0.055831,,ATLAS
58761.248712,o,17.869834,0.058549,,ATLAS
58762.212333,o,17.780137,0.11279,,ATLAS
58769.339077,o,18.434152,0.112484,,ATLAS
58770.23773,o,18.420292,0.113365,,ATLAS
58771.389425,o,18.3447,0.100582,,ATLAS
58772.254574,o,18.454039,0.102269,,ATLAS
58773.319535,o,18.494571,0.135945,,ATLAS
58775.292427,o,18.468614,0.097115,,ATLAS
58779.28611,o,18.918674,0.139129,,ATLAS
58783.320174,o,19.069139,0.163634,,ATLAS
58787.332313,o,19.123852,0.168841,,ATLAS
58799.248888,o,19.23345,0.210923,,ATLAS
