time,band,magnitude,e_magnitude,diffmaglim,telescope
58777.348135,c,19.518666,0.182127,,ATLAS
58781.393856,c,18.840762,0.095894,,ATLAS
58785.395539,c,18.594815,0.078204,,ATLAS
58789.356022,c,18.638233,0.085227,,ATLAS
58779.398098,o,19.093253,0.168032,,ATLAS
58783.399837,o,18.545545,0.09987,,ATLAS
58787.358832,o,18.503667,0.094086,,ATLAS
58791.369211,o,18.652668,0.120955,,ATLAS
58795.312732,o,18.660487,0.129637,,ATLAS
58797.365199,o,18.917921,0.207696,,ATLAS
58799.364665,o,18.867364,0.187989,,ATLAS
58801.344994,o,19.112141,0.193348,,ATLAS
58803.405813,o,19.019851,0.183995,,ATLAS
