time,band,magnitude,e_magnitude,diffmaglim,telescope
58878.331192099955,r,20.178499221801758,0.21061700582504272,,ZTF
58846.44563659979,r,19.139799118041992,0.08254899829626083,,ZTF
58836.44728010008,r,18.82469940185547,0.08546499907970428,,ZTF
58816.511115,c,18.810636,0.10098,,ATLAS
58844.647333,c,19.543143,0.174094,,ATLAS
58820.601005,o,18.658089,0.107596,,ATLAS
58822.471728,o,18.619822,0.134474,,ATLAS
58824.552196,o,18.604737,0.095915,,ATLAS
58826.521078,o,18.596756,0.131129,,ATLAS
58828.518396,o,18.732448,0.170158,,ATLAS
58836.623401,o,19.14901,0.082817,,ATLAS
58846.504172,o,19.326362,0.17057,,ATLAS
58882.485372,o,18.78173,0.14724,,ATLAS
58884.435592,o,18.68831,0.141658,,ATLAS
