time,band,magnitude,e_magnitude,diffmaglim,telescope
58881.29248839989,r,18.717599868774414,0.10152599960565567,,ZTF
58880.2725463002,r,18.706199645996094,0.10852699726819992,,ZTF
58878.31304399995,r,18.734399795532227,0.11924699693918228,,ZTF
58877.35634260019,g,19.822500228881836,0.2512499988079071,,ZTF
58877.31334490003,r,18.525100708007812,0.08901800215244293,,ZTF
58875.27163190022,r,18.659400939941406,0.08983399718999863,,ZTF
58874.355185199995,g,19.758800506591797,0.16436299681663513,,ZTF
58874.31376159983,r,18.503700256347656,0.08620499819517136,,ZTF
58864.3177894,r,19.034799575805664,0.09041199833154678,,ZTF
58864.31688660011,r,19.141700744628906,0.15697699785232544,,ZTF
58869.489189,c,19.146711,0.189082,,ATLAS
58870.455151,c,19.130651,0.188346,,ATLAS
58872.480851,o,18.452763,0.169447,,ATLAS
58876.455767,o,18.269803,0.169097,,ATLAS
58883.50456,o,18.421736,0.168709,,ATLAS
58884.417328,o,18.303285,0.154186,,ATLAS
