time,band,magnitude,e_magnitude,diffmaglim,telescope
59018.22543979995,r,20.122499465942383,0.1968660056591034,,ZTF
58996.24912039982,r,19.847400665283203,0.14414900541305542,,ZTF
58993.2494907002,g,20.390899658203125,0.2912270128726959,,ZTF
58986.25462959986,r,19.543399810791016,0.09998899698257446,,ZTF
58986.18961809995,g,20.4906005859375,0.23558099567890167,,ZTF
58980.29282409977,r,19.579999923706055,0.13870100677013397,,ZTF
58980.18861109996,g,20.76759910583496,0.2649630010128021,,ZTF
58963.225868099835,g,20.252300262451172,0.18300800025463104,,ZTF
58955.278750000056,r,19.276500701904297,0.15181800723075867,,ZTF
58915.44165509986,g,18.637100219726562,0.14274799823760986,,ZTF
58915.37592589995,r,18.27739906311035,0.05855900049209595,,ZTF
58912.27251160005,g,18.587799072265625,0.16557900607585907,,ZTF
58905.293182900175,g,18.978500366210938,0.1727139949798584,,ZTF
58899.39644679986,g,19.654800415039062,0.13770100474357605,,ZTF
58902.514475,c,19.099884,0.130189,,ATLAS
58929.498878,c,18.586113,0.081118,,ATLAS
58930.502849,c,18.656573,0.109107,,ATLAS
58934.371605,c,18.782829,0.130938,,ATLAS
58957.41391,c,19.649645,0.195599,,ATLAS
58958.393281,c,19.880152,0.208593,,ATLAS
58966.399428,c,19.604905,0.20967,,ATLAS
58904.517723,o,19.15977,0.181931,,ATLAS
58912.537518,o,18.507197,0.0949,,ATLAS
58924.519363,o,18.284415,0.108249,,ATLAS
58936.475686,o,18.538851,0.106114,,ATLAS
58949.481604,o,19.038469,0.152735,,ATLAS
58951.424687,o,19.126571,0.183874,,ATLAS
58952.44509,o,18.909406,0.149911,,ATLAS
58956.396199,o,19.130851,0.177982,,ATLAS
58960.412995,o,19.096877,0.173041,,ATLAS
58968.3876,o,19.279589,0.204754,,ATLAS
58969.375612,o,19.234497,0.19803,,ATLAS
58970.381675,o,19.229783,0.204945,,ATLAS
58883.5952157563,w,23.7682,5.12611,,Pan-STARRS
58961.35337676025,w,19.40625,0.011724191514414653,,Pan-STARRS
58966.340677663626,w,19.52165,0.032263136859271124,,Pan-STARRS
59256.5745008611,w,25.3679,5.05051,,Pan-STARRS
59293.5037965974,w,24.317225,0.8825956015261639,,Pan-STARRS
59311.4410062569,w,24.253933333333332,0.8672247363476978,,Pan-STARRS
59315.3793495981,w,23.3041,0.96907,,Pan-STARRS
59335.3833335153,w,24.112,2.20307,,Pan-STARRS
59343.3535087851,w,24.14095,0.10811662684342487,,Pan-STARRS
59963.615823106404,w,25.476750000000003,2.0305985435334093,,Pan-STARRS
60049.3498088498,w,25.0124,4.27929,,Pan-STARRS
60059.302618544,w,24.8218,4.97073,,Pan-STARRS
60088.3074574313,w,25.2924,7.10428,,Pan-STARRS
