time,band,magnitude,e_magnitude,diffmaglim,telescope
58994.28950229986,r,18.837400436401367,0.08539699763059616,,ZTF
58991.23311340017,r,18.945600509643555,0.08914399892091751,,ZTF
58985.27524309978,r,18.734699249267578,0.08142799884080887,,ZTF
58981.25273150019,r,18.400800704956055,0.07889699935913086,,ZTF
58978.27267359989,r,18.375499725341797,0.07174000144004822,,ZTF
58977.26938659977,r,18.211599349975586,0.08487799763679504,,ZTF
58976.3042708002,r,18.114599227905273,0.08033499866724014,,ZTF
58976.29608799983,r,18.147499084472656,0.06872600317001343,,ZTF
58975.38366900012,r,18.014699935913086,0.069582000374794,,ZTF
58974.30089120008,r,17.922199249267578,0.05785199999809265,,ZTF
58974.27739580022,r,17.978700637817383,0.07697299867868423,,ZTF
58973.30616899999,r,17.906299591064453,0.06826899945735931,,ZTF
58972.381458300166,r,17.90999984741211,0.06464400142431259,,ZTF
58972.27545139985,g,19.185400009155273,0.16157099604606628,,ZTF
58971.38273150008,r,17.814699172973633,0.061170000582933426,,ZTF
58970.391724499874,r,17.7322998046875,0.04665499925613403,,ZTF
58970.27685189992,g,19.066299438476562,0.13406899571418762,,ZTF
58968.38246530015,r,17.687400817871094,0.044270001351833344,,ZTF
58968.312673599925,g,18.903099060058594,0.11077000200748444,,ZTF
58968.28813660005,g,18.886199951171875,0.14196300506591797,,ZTF
58967.27629629988,g,18.83839988708496,0.1191750019788742,,ZTF
58966.415057899896,g,18.7362003326416,0.10181300342082977,,ZTF
58966.3720602002,r,17.571800231933594,0.052567001432180405,,ZTF
58965.314294000156,r,17.545900344848633,0.06428799778223038,,ZTF
58965.25989580015,g,18.56130027770996,0.09365099668502808,,ZTF
58964.34233799996,g,18.535999298095703,0.08957400172948837,,ZTF
58964.28480320005,r,17.521400451660156,0.055383000522851944,,ZTF
58963.35721059982,g,18.383699417114258,0.08201099932193756,,ZTF
58963.29532410018,g,18.362499237060547,0.0882520005106926,,ZTF
58962.35515049985,g,18.30579948425293,0.07146400213241577,,ZTF
58962.31680560019,r,17.417400360107422,0.04510200023651123,,ZTF
58961.40916670021,r,17.41189956665039,0.0466109998524189,,ZTF
58956.36210650019,g,18.020200729370117,0.1212719976902008,,ZTF
58955.42384260008,r,17.60919952392578,0.05986899882555008,,ZTF
58955.40152780013,g,18.326000213623047,0.07186999917030334,,ZTF
58954.455555600114,r,17.685100555419922,0.0471160002052784,,ZTF
58954.38262729999,g,18.355300903320312,0.08586200326681137,,ZTF
58959.570606,c,17.795512,0.120916,,ATLAS
58967.481729,c,18.177043,0.138619,,ATLAS
58951.505034,o,17.919951,0.168272,,ATLAS
58957.579313,o,17.641961,0.126543,,ATLAS
58961.492086,o,17.444842,0.182392,,ATLAS
58965.404568,o,17.525461,0.114056,,ATLAS
58971.435583,o,17.652199,0.111444,,ATLAS
58973.362375,o,17.958377,0.170554,,ATLAS
58975.391101,o,18.032461,0.167582,,ATLAS
58977.519643,o,18.107341,0.204914,,ATLAS
58979.475961,o,18.274628,0.200448,,ATLAS
58955.4903821801,i,17.471,0.010965,,Pan-STARRS
59008.36909498795,i,18.966050000000003,0.08633773798287721,,Pan-STARRS
59032.379843773175,i,19.5519,0.0897063357108443,,Pan-STARRS
59038.357384489,i,19.541925,0.3867051105170453,,Pan-STARRS
59058.31518240002,i,20.247525,0.21112128228421922,,Pan-STARRS
59066.3114242175,i,19.926624999999998,0.30621742139641034,,Pan-STARRS
60034.534261021996,i,22.3317,0.9537297782915237,,Pan-STARRS
60035.578398853664,i,21.883266666666668,1.3934768219577003,,Pan-STARRS
