time,band,magnitude,e_magnitude,diffmaglim,telescope
59019.21324069984,r,20.2987003326416,0.21561199426651,,ZTF
59016.237499999814,r,20.144800186157227,0.3474099934101105,,ZTF
59015.21358799981,r,20.0226993560791,0.1838490068912506,,ZTF
59012.2327083,r,20.24049949645996,0.19994600117206573,,ZTF
58998.337789400015,g,20.603599548339844,0.262239009141922,,ZTF
58998.2747105998,r,19.635400772094727,0.15898999571800232,,ZTF
58998.270092600025,r,19.684200286865234,0.15178999304771423,,ZTF
58998.26541669993,r,19.70829963684082,0.1689859926700592,,ZTF
58997.21045139991,g,20.605899810791016,0.25217100977897644,,ZTF
58995.25457180012,r,19.529699325561523,0.11909300088882446,,ZTF
58994.27371530002,r,19.409700393676758,0.11584000289440155,,ZTF
58994.25148149999,g,20.218900680541992,0.18677100539207458,,ZTF
58991.29601849988,g,20.013700485229492,0.17419099807739258,,ZTF
58991.295080999844,g,19.927400588989258,0.15457400679588318,,ZTF
58991.271006899886,r,19.221799850463867,0.11394000053405762,,ZTF
58985.29399310006,g,19.421300888061523,0.12487000226974487,,ZTF
58985.29137729993,r,18.989900588989258,0.09655199944972992,,ZTF
58985.27239579987,r,18.924999237060547,0.08596500009298325,,ZTF
58979.2980324002,r,18.933900833129883,0.13298299908638,,ZTF
58979.297557900194,r,19.052900314331055,0.10789799690246582,,ZTF
58979.2487269002,g,19.078899383544922,0.108365997672081,,ZTF
58976.20493059978,g,19.11989974975586,0.2718450129032135,,ZTF
58973.315266199876,r,19.454099655151367,0.22341400384902954,,ZTF
58973.29399310006,r,19.292200088500977,0.15932199358940125,,ZTF
58973.25190970022,g,19.676000595092773,0.22053200006484985,,ZTF
58973.25143520022,g,19.803300857543945,0.2223760038614273,,ZTF
58970.3603356001,r,19.750499725341797,0.14560699462890625,,ZTF
58970.35940970015,r,20.02869987487793,0.20634600520133972,,ZTF
58983.393498,c,18.966601,0.105764,,ATLAS
58986.437972,c,19.071745,0.113971,,ATLAS
58990.39441,c,19.380691,0.146172,,ATLAS
57893.46033,o,16.5856,0.074213,,ATLAS
58319.313598,o,10.907785,0.18918,,ATLAS
58977.465199,o,18.692149,0.167441,,ATLAS
58981.427332,o,19.201858,0.198822,,ATLAS
58982.445319,o,19.0855,0.17776,,ATLAS
58984.451501,o,18.989485,0.154423,,ATLAS
58988.41845,o,19.106982,0.166825,,ATLAS
58933.5512459078,w,24.19375,2.5170880089897527,,Pan-STARRS
58967.51628135483,w,20.423366666666666,0.03438507428134087,,Pan-STARRS
59292.5726923537,w,22.8881,0.763435,,Pan-STARRS
59318.5230643404,w,21.840575,0.13233473655847136,,Pan-STARRS
59322.52585222098,w,21.771749999999997,0.028205968635498214,,Pan-STARRS
59323.52358006095,w,21.79205,0.049473326146522015,,Pan-STARRS
59364.3066427581,w,22.1852,0.301699,,Pan-STARRS
60020.55971955997,w,21.689700000000002,0.15279478612395936,,Pan-STARRS
60027.47002089943,w,22.197433333333333,0.48775306593944984,,Pan-STARRS
60031.450663197895,w,21.948800000000002,0.07559210717175857,,Pan-STARRS
60048.48063200328,w,21.725425,0.12469195042182986,,Pan-STARRS
60073.3304208388,w,22.0935,0.34601268762864784,,Pan-STARRS
60078.48663462542,w,21.876350000000002,0.2547556410889978,,Pan-STARRS
60089.32885154452,w,21.881175000000002,0.2524537234821464,,Pan-STARRS
