time,band,magnitude,e_magnitude,diffmaglim,telescope
59052.439317100216,g,19.302499771118164,0.10368599742650986,,ZTF
59052.37585650012,r,18.274799346923828,0.059748999774456024,,ZTF
59048.439398100134,g,19.147300720214844,0.1372700035572052,,ZTF
59048.39678240009,r,18.151100158691406,0.049212999641895294,,ZTF
59040.47997689992,g,18.706100463867188,0.1359650045633316,,ZTF
59040.37604170013,r,17.877199172973633,0.06852199882268906,,ZTF
59017.531253,c,17.186917,0.022925,,ATLAS
59021.557964,c,17.165917,0.033166,,ATLAS
59029.540056,c,17.555804,0.044756,,ATLAS
59049.488768,c,18.805671,0.142967,,ATLAS
59053.473135,c,18.868936,0.148093,,ATLAS
59077.492005,c,19.205133,0.202461,,ATLAS
59005.560907,o,18.360002,0.130974,,ATLAS
59007.53283,o,17.902347,0.089699,,ATLAS
59015.55696,o,17.084265,0.034773,,ATLAS
59016.562394,o,17.030537,0.023826,,ATLAS
59019.553662,o,17.071236,0.094809,,ATLAS
59023.545556,o,17.058013,0.056675,,ATLAS
59027.507937,o,17.062001,0.038072,,ATLAS
59031.49179,o,17.272467,0.029973,,ATLAS
59033.454326,o,17.444796,0.056308,,ATLAS
59041.506853,o,17.891884,0.075131,,ATLAS
59043.499147,o,17.852647,0.070358,,ATLAS
59047.496223,o,18.10422,0.087869,,ATLAS
59051.486158,o,18.131487,0.088304,,ATLAS
59055.466352,o,18.40203,0.122278,,ATLAS
59059.4718,o,18.386007,0.111368,,ATLAS
59061.429561,o,18.32258,0.119661,,ATLAS
59069.486045,o,18.3925,0.119126,,ATLAS
59071.469633,o,18.725663,0.151801,,ATLAS
59073.470453,o,18.731932,0.15268,,ATLAS
59075.451776,o,18.683673,0.148545,,ATLAS
59079.453986,o,18.994536,0.192969,,ATLAS
59083.480082,o,18.922636,0.179269,,ATLAS
59095.420765,o,18.793581,0.200905,,ATLAS
59097.409935,o,18.706957,0.171772,,ATLAS
59510.217986709,i,24.739,6.26881,,Pan-STARRS
59016.551332985546,w,17.082675000000002,0.030689235354871298,,Pan-STARRS
59049.509684398974,w,18.3415,0.02018497791262859,,Pan-STARRS
59058.484051499676,w,18.568875,0.03785827738641373,,Pan-STARRS
59130.28780839065,w,20.018875,0.061164770633646635,,Pan-STARRS
59385.580676057805,w,23.899966666666668,1.2284883570198515,,Pan-STARRS
59408.5252570701,w,24.9164,3.8028,,Pan-STARRS
59429.4342038926,w,23.88675,0.580888220744749,,Pan-STARRS
59431.439474192695,w,25.699199999999998,0.9113192195932213,,Pan-STARRS
59809.356906202345,w,23.89035,0.7384316115931114,,Pan-STARRS
59837.32035835115,w,23.8933,0.8085058936086983,,Pan-STARRS
59842.29584190789,w,23.525825000000005,0.926963592866515,,Pan-STARRS
