time,band,magnitude,e_magnitude,diffmaglim,telescope
59051.492568,c,19.854253,0.203417,,ATLAS
59059.575785,c,19.572749,0.158221,,ATLAS
59076.508828,c,19.488397,0.162742,,ATLAS
59079.404797,c,19.480816,0.152829,,ATLAS
59083.410724,c,19.396256,0.137871,,ATLAS
59087.554626,c,19.365413,0.148988,,ATLAS
59115.478595,c,20.118703,0.195341,,ATLAS
59071.452912,o,19.741479,0.184073,,ATLAS
59073.522164,o,19.654844,0.158991,,ATLAS
59077.518142,o,19.434494,0.130485,,ATLAS
59089.464154,o,19.685917,0.184146,,ATLAS
59090.55193105308,i,19.5107,0.16715587535790274,,Pan-STARRS
59479.526416813,i,21.9115,0.818026,,Pan-STARRS
59535.3460369191,i,22.966,3.59334,,Pan-STARRS
59832.4792296141,i,21.7118,1.77962,,Pan-STARRS
59860.42677958964,i,23.07636666666667,1.551448588685211,,Pan-STARRS
59866.40806522595,i,23.27355,1.0399419430910561,,Pan-STARRS
59895.29754144562,i,22.98455,0.5233626817673062,,Pan-STARRS
