time,band,magnitude,e_magnitude,diffmaglim,telescope
59167.20942129986,r,19.62529945373535,0.1427830010652542,,ZTF
59165.21459490014,r,19.719100952148438,0.2495270073413849,,ZTF
59165.18052079994,g,20.468700408935547,0.25941500067710876,,ZTF
59152.224687499925,r,19.29210090637207,0.17996099591255188,,ZTF
59151.243217600044,r,19.217599868774414,0.20754800736904144,,ZTF
59144.20965280011,r,19.061899185180664,0.1187869980931282,,ZTF
59140.2296990999,r,18.97909927368164,0.08756300061941147,,ZTF
59140.188796299975,g,19.690200805664062,0.12343200296163559,,ZTF
59138.27427079994,r,18.783899307250977,0.10928399860858917,,ZTF
59136.29400460003,r,18.868499755859375,0.08853799849748611,,ZTF
59134.29453699989,r,18.825700759887695,0.09525600075721741,,ZTF
59130.25652780011,r,18.693599700927734,0.0790409967303276,,ZTF
59128.270995399915,r,18.700599670410156,0.10633999854326248,,ZTF
59113.292627300136,r,18.635000228881836,0.09689199924468994,,ZTF
59112.30118060019,g,18.579500198364258,0.06345999985933304,,ZTF
59111.40799769992,r,18.739200592041016,0.11436299979686737,,ZTF
59110.3322222,g,18.719999313354492,0.1173970028758049,,ZTF
59110.27253470011,r,18.619199752807617,0.17066200077533722,,ZTF
59109.378923600074,r,18.63800048828125,0.12449900060892105,,ZTF
59108.37945599994,r,18.815799713134766,0.12267599999904633,,ZTF
59108.31216439977,g,18.792200088500977,0.12515999376773834,,ZTF
59107.3346644002,g,18.88479995727539,0.14397799968719482,,ZTF
59109.446,c,18.572128,0.096645,,ATLAS
59113.442118,c,18.542595,0.116995,,ATLAS
59133.389709,c,18.86982,0.126589,,ATLAS
59137.433918,c,19.182106,0.170249,,ATLAS
59111.4079,o,18.654534,0.199071,,ATLAS
59115.403228,o,18.570858,0.127832,,ATLAS
59117.389828,o,18.446291,0.121586,,ATLAS
59118.380977,o,18.458597,0.1256,,ATLAS
59127.355844,o,18.806866,0.173095,,ATLAS
59129.419971,o,18.79475,0.165327,,ATLAS
59131.410582,o,18.655294,0.137187,,ATLAS
59139.372938,o,19.01719,0.213278,,ATLAS
59147.30322,o,19.24877,0.178832,,ATLAS
59071.523859773595,i,23.155533333333334,1.1137565817239117,,Pan-STARRS
59074.52148084267,i,22.433166666666665,0.2576532618332887,,Pan-STARRS
59098.45961733027,i,22.196975000000002,0.4885738250254517,,Pan-STARRS
59125.480607144425,i,18.490175,0.03751607433265579,,Pan-STARRS
59157.32332158228,i,19.2389,0.06296014612435395,,Pan-STARRS
59837.4544505696,i,21.7485,1.10027,,Pan-STARRS
59866.337063161656,i,22.317050000000002,0.23426447660710487,,Pan-STARRS
59047.58227575143,w,23.768925,2.5541443046873185,,Pan-STARRS
59053.58626309778,w,22.811749999999996,0.151194190805512,,Pan-STARRS
59059.55723142177,w,22.542125,0.31209851409450784,,Pan-STARRS
59076.49572241487,w,26.054233333333332,2.622428510623947,,Pan-STARRS
59104.4676694218,w,21.8878,0.4993588088739392,,Pan-STARRS
59110.428257588675,w,18.662025,0.01315937561841951,,Pan-STARRS
59113.3793841647,w,18.63175,0.05804070410783623,,Pan-STARRS
59133.34968165795,w,18.88835,0.020418700578962494,,Pan-STARRS
59465.5087178691,w,22.765124999999998,0.046004157420823893,,Pan-STARRS
59498.336812992995,w,24.28815,1.0365947472373191,,Pan-STARRS
59809.5767492781,w,23.6804,1.40289,,Pan-STARRS
59813.4695267207,w,22.7,1.0854,,Pan-STARRS
59817.46888337814,w,22.666966666666667,0.36802685137545815,,Pan-STARRS
59842.4515029419,w,22.71425,0.3219457174742359,,Pan-STARRS
59853.353282011696,w,22.267325,0.8903977627068321,,Pan-STARRS
59872.31160629777,w,22.556675000000002,0.553410326219765,,Pan-STARRS
59897.236246499924,w,22.56635,0.3959121493462913,,Pan-STARRS
