time,band,magnitude,e_magnitude,diffmaglim,telescope
59106.49258,G,18.46,0.1,,Gaia
59106.66874,G,18.41,0.1,,Gaia
59176.1965,G,19.63,0.1,,Gaia
59176.37266,G,19.57,0.1,,Gaia
59201.12383,G,20.21,0.1,,Gaia
59201.19784,G,20.21,0.1,,Gaia
59173.087812500075,r,19.558700561523438,0.1539359986782074,,ZTF
59171.07820599992,r,19.38719940185547,0.12670700252056122,,ZTF
59169.14175930014,r,19.371599197387695,0.24856199324131012,,ZTF
59169.09274310013,g,19.97319984436035,0.22029100358486176,,ZTF
59167.137847200036,g,19.625,0.2845979928970337,,ZTF
59167.09162040008,r,19.33489990234375,0.1387290060520172,,ZTF
59164.117581000086,r,19.11359977722168,0.11146300286054611,,ZTF
59164.10424769996,g,20.011999130249023,0.18034100532531738,,ZTF
59157.112997699995,r,19.104799270629883,0.12670700252056122,,ZTF
59152.16629630001,g,19.891700744628906,0.2821759879589081,,ZTF
59150.154652799945,g,19.60110092163086,0.21560700237751007,,ZTF
59150.116516199894,r,18.784400939941406,0.09002800285816193,,ZTF
59145.20464120014,g,19.66029930114746,0.16693399846553802,,ZTF
59143.17503469996,g,19.47089958190918,0.11901099979877472,,ZTF
59141.19557869993,g,19.400800704956055,0.1408109962940216,,ZTF
59141.120763900224,r,18.348899841308594,0.05967700108885765,,ZTF
59139.13271989999,r,18.27910041809082,0.06860899925231934,,ZTF
59139.11089120014,g,19.30190086364746,0.11542099714279175,,ZTF
59137.15944440011,g,19.188499450683594,0.09344899654388428,,ZTF
59137.12019680021,r,18.19379997253418,0.06832700222730637,,ZTF
59135.13766200002,r,18.01449966430664,0.06441500037908554,,ZTF
59135.11994209979,g,19.079500198364258,0.10422100126743317,,ZTF
59131.17478010012,g,18.861799240112305,0.09669899940490723,,ZTF
59129.29020830011,g,18.597900390625,0.15331000089645386,,ZTF
59129.117337999865,r,17.58169937133789,0.055948998779058456,,ZTF
59127.205347199924,g,18.521299362182617,0.17343099415302277,,ZTF
59125.20167820016,g,18.191099166870117,0.0696450024843216,,ZTF
59125.11563660018,r,17.332599639892578,0.05409400165081024,,ZTF
59123.25774310017,r,17.199800491333008,0.048861000686883926,,ZTF
59123.11166669987,g,17.95669937133789,0.08323699980974197,,ZTF
59114.195162000135,g,17.524599075317383,0.045246999710798264,,ZTF
59114.183854199946,r,17.18630027770996,0.05640000104904175,,ZTF
59111.23755790014,r,17.45400047302246,0.046236999332904816,,ZTF
59111.1447222,g,17.701200485229492,0.05039599910378456,,ZTF
59108.26703700004,g,18.08810043334961,0.08421599864959717,,ZTF
59107.354623,c,18.255553,0.054553,,ATLAS
59111.286239,c,17.495952,0.06862,,ATLAS
59131.321241,c,18.230477,0.043981,,ATLAS
59132.272164,c,18.326785,0.070292,,ATLAS
59136.256583,c,18.547227,0.088803,,ATLAS
59139.296475,c,18.742607,0.085451,,ATLAS
59105.365326,o,18.983196,0.127741,,ATLAS
59109.303497,o,17.831451,0.040501,,ATLAS
59114.282057,o,17.316329,0.026248,,ATLAS
59118.271343,o,17.225626,0.02647,,ATLAS
59121.321307,o,17.260258,0.021357,,ATLAS
59123.319061,o,17.317862,0.036319,,ATLAS
59125.269005,o,17.451121,0.024991,,ATLAS
59127.241852,o,17.562319,0.050697,,ATLAS
59129.304474,o,17.725139,0.038241,,ATLAS
59133.325645,o,17.986129,0.048941,,ATLAS
59137.286544,o,18.240622,0.061903,,ATLAS
59143.22964,o,18.457491,0.078325,,ATLAS
59145.280653,o,18.636054,0.087849,,ATLAS
59148.224807,o,18.678017,0.095965,,ATLAS
59154.237487,o,18.962674,0.140988,,ATLAS
59156.252011,o,18.893164,0.131548,,ATLAS
59161.268628,o,19.165345,0.145041,,ATLAS
59165.235406,o,19.228739,0.151639,,ATLAS
59115.2385239545,g,17.5069,0.0165575,,Pan-STARRS
59117.23376452,g,17.4387,0.0340133,,Pan-STARRS
59119.327225933,g,17.6234,0.0260198,,Pan-STARRS
59121.2936109932,g,17.6311,0.0503557,,Pan-STARRS
59123.2245353187,g,17.9164,0.067558,,Pan-STARRS
59126.2211310384,g,18.1954,0.030439,,Pan-STARRS
59128.303048986,g,18.338,0.111797,,Pan-STARRS
59130.2208263953,g,18.5528,0.0680896,,Pan-STARRS
59132.2218464566,g,18.969,0.0889229,,Pan-STARRS
59137.2196434978,g,19.1647,0.016605,,Pan-STARRS
59145.2178164767,g,19.4538,0.0349801,,Pan-STARRS
59153.2113586487,g,19.5057,0.125361,,Pan-STARRS
59161.2100084504,g,19.8116,0.0554038,,Pan-STARRS
59169.2168077054,g,19.8716,0.0331944,,Pan-STARRS
59181.2343378309,g,19.3105,0.297881,,Pan-STARRS
59189.2113947207,g,20.141,0.0671465,,Pan-STARRS
59115.2392794805,i,17.4319,0.0162676,,Pan-STARRS
59117.2345335833,i,17.3745,0.0261795,,Pan-STARRS
59119.3280007267,i,17.4156,0.0184813,,Pan-STARRS
59121.2943805372,i,17.3807,0.0276082,,Pan-STARRS
59123.2252991907,i,17.452,0.0250608,,Pan-STARRS
59126.2218978102,i,17.612,0.0200028,,Pan-STARRS
59128.3038212435,i,17.6961,0.0562318,,Pan-STARRS
59130.2200720405,i,17.8156,0.0410029,,Pan-STARRS
59132.2210915474,i,17.9034,0.0484023,,Pan-STARRS
59137.2181783658,i,18.2749,0.0173782,,Pan-STARRS
59145.2163510765,i,18.6126,0.0289657,,Pan-STARRS
59146.24503792689,i,18.710075,0.09594412870693729,,Pan-STARRS
59153.209905133,i,18.8749,0.0591163,,Pan-STARRS
59161.2085433337,i,19.1394,0.0430445,,Pan-STARRS
59169.2142962968,i,19.2903,0.0280983,,Pan-STARRS
59181.231114905,i,19.5231,0.24538,,Pan-STARRS
59189.2063225415,i,19.6828,0.0563397,,Pan-STARRS
59421.446242831196,i,22.1572,0.1275620633260523,,Pan-STARRS
59830.32362722075,i,21.299950000000003,0.3625336467143421,,Pan-STARRS
59115.2389157102,r,17.1221,0.0141926,,Pan-STARRS
59117.2341657872,r,17.0718,0.0206577,,Pan-STARRS
59119.3276517787,r,17.1795,0.0146185,,Pan-STARRS
59121.2940263688,r,17.1806,0.0210477,,Pan-STARRS
59123.2249277254,r,17.236,0.0269225,,Pan-STARRS
59126.2215274526,r,17.4127,0.0191538,,Pan-STARRS
59128.3034745391,r,17.5029,0.0530813,,Pan-STARRS
59130.2204711159,r,17.6636,0.0340071,,Pan-STARRS
59132.2214903041,r,17.8354,0.0411687,,Pan-STARRS
59136.233556792,r,18.2189,0.174971,,Pan-STARRS
59137.2189363558,r,18.2265,0.0113524,,Pan-STARRS
59145.2171135706,r,18.5762,0.0205299,,Pan-STARRS
59153.2106630121,r,18.8458,0.0478151,,Pan-STARRS
59161.2093102707,r,19.0909,0.0454273,,Pan-STARRS
59169.2155960496,r,19.3256,0.0247509,,Pan-STARRS
59181.2327713775,r,19.2917,0.349204,,Pan-STARRS
59189.2089023991,r,19.716,0.0495336,,Pan-STARRS
59495.2856054343,w,21.9718,0.4585362799168678,,Pan-STARRS
59115.2400390712,y,17.7195,0.056691,,Pan-STARRS
59117.2353034403,y,17.6027,0.0863178,,Pan-STARRS
59119.3287789044,y,17.5529,0.0491604,,Pan-STARRS
59121.2951509338,y,17.5082,0.0695032,,Pan-STARRS
59123.2260622047,y,17.6786,0.0796189,,Pan-STARRS
59126.2226606411,y,17.6522,0.093408,,Pan-STARRS
59128.3046037666,y,17.886,0.299261,,Pan-STARRS
59130.2193390037,y,17.8484,0.167072,,Pan-STARRS
59132.2203653738,y,17.9121,0.111821,,Pan-STARRS
59136.2346786302,y,18.3319,0.906472,,Pan-STARRS
59137.2162308619,y,18.3437,0.0398782,,Pan-STARRS
59145.2144201366,y,18.6871,0.0760962,,Pan-STARRS
59153.2079686732,y,18.9886,0.153483,,Pan-STARRS
59161.2066276921,y,19.3285,0.116592,,Pan-STARRS
59169.2111566132,y,19.249,0.110396,,Pan-STARRS
59181.227293347,y,19.4574,0.408481,,Pan-STARRS
59189.2013338659,y,19.6128,0.302401,,Pan-STARRS
59115.2396496073,z,17.247,0.0199072,,Pan-STARRS
59117.2349103038,z,17.142,0.0333484,,Pan-STARRS
59119.3283534953,z,17.1923,0.020973,,Pan-STARRS
59121.2947365703,z,17.1364,0.0391775,,Pan-STARRS
59123.2256643883,z,17.2253,0.0258524,,Pan-STARRS
59126.2222632654,z,17.3606,0.0316016,,Pan-STARRS
59128.3041817079,z,17.4372,0.0868693,,Pan-STARRS
59130.2197036925,z,17.5518,0.0497568,,Pan-STARRS
59132.2207315726,z,17.6871,0.0428153,,Pan-STARRS
59136.2342775185,z,17.9955,0.214939,,Pan-STARRS
59137.2174661161,z,17.941,0.0200453,,Pan-STARRS
59145.2156482773,z,18.2127,0.0307217,,Pan-STARRS
59153.2091977358,z,18.4118,0.0489539,,Pan-STARRS
59161.207847524,z,18.6926,0.0413208,,Pan-STARRS
59169.2130728448,z,18.8316,0.0351309,,Pan-STARRS
59181.2295595581,z,19.1292,0.165826,,Pan-STARRS
59189.2038244778,z,19.3452,0.073728,,Pan-STARRS
