time,band,magnitude,e_magnitude,diffmaglim,telescope
57304.61574,c,16.118487,0.059514,,ATLAS
57398.459751,c,17.558604,0.215148,,ATLAS
57779.48539,c,15.591118,0.024262,,ATLAS
57807.435679,c,15.766754,0.028473,,ATLAS
58485.55071,c,15.933083,0.032783,,ATLAS
58577.315074,c,14.932743,0.013253,,ATLAS
58609.286217,c,15.982446,0.048745,,ATLAS
58789.606302,c,15.786527,0.028777,,ATLAS
58845.571873,c,15.43095,0.020637,,ATLAS
58873.454888,c,16.113539,0.03866,,ATLAS
58905.349878,c,15.708482,0.026746,,ATLAS
58929.339296,c,15.683862,0.026258,,ATLAS
59110.616654,c,15.96667,0.049655,,ATLAS
59141.641063,c,17.529785,0.15039,,ATLAS
59195.525546,c,15.659197,0.025435,,ATLAS
59252.417043,c,16.072157,0.037338,,ATLAS
59277.357938,c,16.031969,0.051166,,ATLAS
59589.551276,c,15.682778,0.035896,,ATLAS
59608.89747,c,15.996548,0.034922,,ATLAS
59616.400787,c,15.908857,0.032351,,ATLAS
59662.857006,c,16.128516,0.054138,,ATLAS
59999.076744,c,15.914188,0.032414,,ATLAS
57388.539138,o,17.23973,0.094906,,ATLAS
57469.297445,o,17.737918,0.169121,,ATLAS
57703.64874,o,14.695089,0.015554,,ATLAS
57743.645759,o,14.514894,0.01333,,ATLAS
57799.426121,o,14.397483,0.008436,,ATLAS
57800.439717,o,13.821673,0.00557,,ATLAS
57804.37887,o,14.128385,0.010041,,ATLAS
57806.373491,o,13.268353,0.006051,,ATLAS
57808.407805,o,14.033833,0.006225,,ATLAS
57816.363484,o,14.358162,0.008183,,ATLAS
57831.381491,o,14.57971,0.009655,,ATLAS
57838.286956,o,14.582134,0.009941,,ATLAS
57859.275357,o,14.663926,0.015114,,ATLAS
57865.310694,o,13.873084,0.007519,,ATLAS
57866.310263,o,15.923471,0.187333,,ATLAS
57869.314699,o,14.088139,0.009347,,ATLAS
58055.607756,o,15.448634,0.020778,,ATLAS
58079.558931,o,15.563866,0.023229,,ATLAS
58127.481442,o,14.988348,0.013698,,ATLAS
58129.488116,o,15.206452,0.052884,,ATLAS
58141.455587,o,14.171853,0.009355,,ATLAS
58143.463664,o,13.334791,0.004644,,ATLAS
58158.410074,o,15.329258,0.018787,,ATLAS
58455.557739,o,15.404226,0.01979,,ATLAS
58463.52227,o,13.099777,0.003763,,ATLAS
58487.518224,o,14.916031,0.012749,,ATLAS
58539.400463,o,15.742983,0.027115,,ATLAS
58555.348791,o,15.840611,0.092635,,ATLAS
58575.31467,o,15.050988,0.014632,,ATLAS
58607.249083,o,13.964527,0.039057,,ATLAS
58611.261835,o,15.169412,0.016316,,ATLAS
58839.503773,o,15.939501,0.185798,,ATLAS
58963.278091,o,17.411031,0.159402,,ATLAS
59119.639498,o,16.215655,0.045159,,ATLAS
59121.622637,o,16.211957,0.031978,,ATLAS
59123.626697,o,16.361346,0.036459,,ATLAS
59126.626728,o,16.561542,0.04333,,ATLAS
59127.630824,o,16.709089,0.056797,,ATLAS
59129.580822,o,16.797776,0.062052,,ATLAS
59135.588263,o,17.230858,0.092446,,ATLAS
59136.635582,o,17.14909,0.101445,,ATLAS
59140.617655,o,17.605361,0.213833,,ATLAS
59147.60681,o,18.055805,0.188045,,ATLAS
59154.585727,o,17.914381,0.173718,,ATLAS
59156.622628,o,17.685903,0.119803,,ATLAS
59157.598586,o,18.076505,0.203401,,ATLAS
59158.624445,o,18.297066,0.213146,,ATLAS
59160.62013,o,18.198262,0.191937,,ATLAS
59161.515813,o,17.519851,0.207461,,ATLAS
59527.574696,o,15.484077,0.021507,,ATLAS
59531.568254,o,14.588389,0.013729,,ATLAS
59547.514327,o,15.439187,0.02131,,ATLAS
59591.471626,o,15.549138,0.032408,,ATLAS
59727.717125,o,17.567956,0.210915,,ATLAS
59923.000798,o,15.492146,0.031719,,ATLAS
59944.000383,o,15.176334,0.022828,,ATLAS
59957.205291,o,18.014953,0.190134,,ATLAS
60053.837707,o,14.625856,0.008179,,ATLAS
