time,band,magnitude,e_magnitude,diffmaglim,telescope
59116.53264,G,18.68,0.1,,Gaia
59116.60664,G,18.72,0.1,,Gaia
59133.61473,G,18.3,0.1,,Gaia
59133.79089,G,18.3,0.1,,Gaia
59133.8649,G,18.3,0.1,,Gaia
59134.04106,G,18.26,0.1,,Gaia
59189.28078,G,19.28,0.1,,Gaia
59189.35478,G,19.33,0.1,,Gaia
59213.35443,G,19.71,0.1,,Gaia
59213.53058,G,19.79,0.1,,Gaia
59113.549274,c,19.177734,0.142261,,ATLAS
59117.530148,c,18.755562,0.093857,,ATLAS
59137.538277,c,18.319245,0.064096,,ATLAS
59141.58584,c,18.458978,0.099823,,ATLAS
59145.451001,c,18.589632,0.078473,,ATLAS
59169.394035,c,18.767164,0.09241,,ATLAS
59173.430783,c,18.795768,0.093686,,ATLAS
59193.369481,c,19.615224,0.199262,,ATLAS
59195.353726,c,19.613208,0.201427,,ATLAS
59115.506214,o,19.042877,0.143759,,ATLAS
59119.485242,o,18.701899,0.119859,,ATLAS
59121.469529,o,18.591808,0.124866,,ATLAS
59123.477981,o,18.494791,0.121965,,ATLAS
59125.571318,o,18.397421,0.115782,,ATLAS
59127.503898,o,18.501163,0.117409,,ATLAS
59129.511919,o,18.332406,0.090737,,ATLAS
59131.49063,o,18.498074,0.094956,,ATLAS
59133.560931,o,18.435338,0.090837,,ATLAS
59135.467836,o,18.453144,0.110508,,ATLAS
59139.462723,o,18.601913,0.118122,,ATLAS
59147.430264,o,18.670875,0.113889,,ATLAS
59157.469024,o,18.474066,0.111363,,ATLAS
59161.487246,o,18.719452,0.130322,,ATLAS
59163.465674,o,18.572975,0.119121,,ATLAS
59167.38839,o,18.775412,0.124248,,ATLAS
59189.382869,o,19.222747,0.18846,,ATLAS
59205.375124,o,19.230585,0.178349,,ATLAS
59207.33951,o,19.298062,0.210878,,ATLAS
59098.5862490484,i,23.365850000000002,0.37215029893848184,,Pan-STARRS
59163.4120791041,i,18.6326,0.0189447,,Pan-STARRS
59478.52158448983,i,22.886374999999997,0.5471874838663627,,Pan-STARRS
59895.4448089716,i,24.4993,4.44335,,Pan-STARRS
59163.4108632165,r,18.529,0.0194173,,Pan-STARRS
59226.2405243157,w,24.748,4.12758,,Pan-STARRS
59163.4132903268,z,18.8242,0.0412283,,Pan-STARRS
