time,band,magnitude,e_magnitude,diffmaglim,telescope
59521.13648,G,18.79,0.1,,Gaia
59521.21049,G,18.78,0.1,,Gaia
59533.71473,G,19.41,0.1,,Gaia
59533.89088,G,19.4,0.1,,Gaia
59540.17513890006,r,19.528480529785156,0.18349899351596832,,ZTF
59537.29681710014,r,19.308500289916992,0.20789900422096252,,ZTF
59529.23092589993,g,20.109600067138672,0.33661699295043945,,ZTF
59526.21120369993,g,20.046199798583984,0.13543300330638885,,ZTF
59526.147719900124,r,18.672000885009766,0.061218999326229095,,ZTF
59524.298252299894,g,19.930700302124023,0.16265499591827393,,ZTF
59524.21126159979,r,18.616500854492188,0.05406799912452698,,ZTF
59522.21056709997,g,19.675100326538086,0.1458120048046112,,ZTF
59522.19089120021,r,18.526100158691406,0.07291600108146667,,ZTF
59520.29140050011,g,19.562599182128906,0.12407399713993073,,ZTF
59520.232453700155,r,18.4960994720459,0.07246699929237366,,ZTF
59509.255034700036,r,18.444599151611328,0.08890099823474884,,ZTF
59503.28703700006,r,18.78059959411621,0.11135400086641312,,ZTF
59502.254120400175,r,18.63290023803711,0.08565499633550644,,ZTF
59502.249872699846,g,19.081100463867188,0.12143000215291977,,ZTF
59497.357175900135,g,19.278499603271484,0.1250160038471222,,ZTF
59497.2995023001,r,19.020200729370117,0.11268399655818939,,ZTF
59518.352183,c,18.993768,0.097785,,ATLAS
59522.365451,c,18.990769,0.109279,,ATLAS
59526.319868,c,19.334813,0.135037,,ATLAS
59496.424932,o,19.032855,0.121125,,ATLAS
59498.39567,o,19.390309,0.190233,,ATLAS
59500.32887,o,19.090858,0.136964,,ATLAS
59501.409464,o,19.260534,0.185225,,ATLAS
59508.416225,o,18.897447,0.203481,,ATLAS
59510.366901,o,18.459907,0.094829,,ATLAS
59511.408291,o,18.511264,0.109991,,ATLAS
59512.38486,o,18.614803,0.107329,,ATLAS
59513.344885,o,18.566538,0.087897,,ATLAS
59516.369702,o,18.643157,0.098029,,ATLAS
59520.363603,o,18.495154,0.084544,,ATLAS
59524.324901,o,18.564312,0.095043,,ATLAS
59528.357182,o,18.951566,0.138633,,ATLAS
