time,band,magnitude,e_magnitude,diffmaglim,telescope
59550.34857639996,r,19.565319061279297,0.10836700350046158,,ZTF
59538.29913190007,r,19.09440040588379,0.1626719981431961,,ZTF
59537.363263899926,r,19.173500061035156,0.1310800015926361,,ZTF
59536.38228010014,r,18.977699279785156,0.13389800488948822,,ZTF
59532.39119210001,r,18.850500106811523,0.12714900076389313,,ZTF
59531.42982639978,r,18.84469985961914,0.07736600190401077,,ZTF
59531.38545140019,g,20.419200897216797,0.24472999572753906,,ZTF
59530.388125000056,r,18.795299530029297,0.13996699452400208,,ZTF
59530.32613429986,g,20.263900756835938,0.34106799960136414,,ZTF
59529.37315970007,r,18.77829933166504,0.07017699629068375,,ZTF
59529.32847219985,g,20.234500885009766,0.21169500052928925,,ZTF
59526.49508100003,r,18.63129997253418,0.0700559988617897,,ZTF
59526.369953699876,g,20.03510093688965,0.13808999955654144,,ZTF
59525.36704860022,r,18.66320037841797,0.09394700080156326,,ZTF
59525.35077549983,g,19.833499908447266,0.15879599750041962,,ZTF
59524.36506940005,r,18.583599090576172,0.055309001356363297,,ZTF
59524.34902779991,g,19.879199981689453,0.14140500128269196,,ZTF
59523.36281249998,g,19.77910041809082,0.15731699764728546,,ZTF
59523.26116900006,r,18.643400192260742,0.08393199741840363,,ZTF
59522.364733799826,g,19.78059959411621,0.10850100219249725,,ZTF
59522.351736099925,r,18.61590003967285,0.06290700286626816,,ZTF
59521.34986109985,g,19.739999771118164,0.17670300602912903,,ZTF
59518.496030100156,r,18.512100219726562,0.05270199850201607,,ZTF
59518.36803240003,g,19.404800415039062,0.09654299914836884,,ZTF
59517.46091439994,g,19.51099967956543,0.22445499897003174,,ZTF
59517.42799769994,r,18.534000396728516,0.06988699734210968,,ZTF
59512.424328700174,g,19.41939926147461,0.14973999559879303,,ZTF
59512.337164400145,r,18.575899124145508,0.08153100311756134,,ZTF
59509.38340280019,g,19.33139991760254,0.22376400232315063,,ZTF
59509.38244209997,g,19.299999237060547,0.17743700742721558,,ZTF
59509.353784699924,r,18.801700592041016,0.13946999609470367,,ZTF
59509.352361099795,r,18.79330062866211,0.12730999290943146,,ZTF
59503.49246530002,g,19.775800704956055,0.26701998710632324,,ZTF
59503.47358800005,g,19.889999389648438,0.2056400030851364,,ZTF
59503.389884300064,r,19.353900909423828,0.17642900347709656,,ZTF
59503.368483799975,r,19.220699310302734,0.14151500165462494,,ZTF
59498.456817099825,g,20.70359992980957,0.2747940123081207,,ZTF
59498.39278940018,r,20.191999435424805,0.17576700448989868,,ZTF
59498.36112269992,r,20.09630012512207,0.29653799533843994,,ZTF
59524.553215,c,19.075847,0.123568,,ATLAS
59528.515019,c,19.155334,0.12593,,ATLAS
59500.61186,o,19.376606,0.211184,,ATLAS
59504.604265,o,19.095996,0.182756,,ATLAS
59508.573793,o,18.74448,0.154414,,ATLAS
59510.492997,o,18.832332,0.175539,,ATLAS
59514.584365,o,18.422214,0.102057,,ATLAS
59516.558505,o,18.524075,0.158774,,ATLAS
59518.550239,o,18.580742,0.103156,,ATLAS
59522.480937,o,18.516651,0.127063,,ATLAS
59526.505017,o,18.583937,0.10709,,ATLAS
59540.557795,o,19.0379,0.160527,,ATLAS
59544.463718,o,19.245809,0.15256,,ATLAS
59546.513144,o,19.318174,0.210672,,ATLAS
