time,band,magnitude,e_magnitude,diffmaglim,telescope
59516.394721,c,18.504104,0.071141,,ATLAS
59524.392508,c,18.332627,0.049541,,ATLAS
58370.556093,o,18.572337,0.161789,,ATLAS
59502.377637,o,19.726787,0.206808,,ATLAS
59504.435516,o,19.181386,0.194065,,ATLAS
59506.442874,o,19.031106,0.213786,,ATLAS
59508.454296,o,18.84324,0.163323,,ATLAS
59510.409751,o,18.879429,0.162045,,ATLAS
59512.350587,o,18.434218,0.102813,,ATLAS
59513.443437,o,18.575278,0.103774,,ATLAS
59514.396912,o,18.253128,0.073514,,ATLAS
59517.404726,o,18.200975,0.0662,,ATLAS
59518.377321,o,18.291909,0.071997,,ATLAS
59522.397059,o,18.212074,0.050466,,ATLAS
59526.379373,o,18.115735,0.043262,,ATLAS
59530.386367,o,18.164034,0.047617,,ATLAS
59532.377482,o,18.110074,0.122579,,ATLAS
59534.345913,o,18.17392,0.106818,,ATLAS
59536.324528,o,17.994657,0.069943,,ATLAS
59538.363388,o,18.092783,0.10353,,ATLAS
59539.409175,o,18.256266,0.086766,,ATLAS
59540.416716,o,18.184944,0.073409,,ATLAS
59542.323591,o,18.148183,0.06865,,ATLAS
59544.318017,o,18.162408,0.058722,,ATLAS
59546.359685,o,18.244702,0.066799,,ATLAS
59550.368116,o,18.162661,0.065567,,ATLAS
59562.33356,o,18.649022,0.128998,,ATLAS
59564.344345,o,18.589458,0.212706,,ATLAS
59565.317686,o,18.468967,0.158255,,ATLAS
59569.393068,o,18.794798,0.15977,,ATLAS
59574.264471,o,18.720307,0.104811,,ATLAS
59588.313694,o,18.886556,0.122052,,ATLAS
59590.245145,o,19.249739,0.191789,,ATLAS
59592.24175,o,19.229166,0.20324,,ATLAS
59602.292196,o,19.297238,0.185185,,ATLAS
59605.275788,o,19.537865,0.207548,,ATLAS
59609.22657,o,19.188951,0.191403,,ATLAS
59618.2443,o,19.232374,0.19655,,ATLAS
59627.237819,o,19.457396,0.206037,,ATLAS
59531.238890577646,i,18.01295,0.02043538597629133,,Pan-STARRS
59865.3791877283,i,25.4392,133.109,,Pan-STARRS
59885.304055789165,i,22.4736,0.257116646680062,,Pan-STARRS
59914.467882652054,w,22.971049999999998,0.20131330060380817,,Pan-STARRS
