time,band,magnitude,e_magnitude,diffmaglim,telescope
59585.787208,c,17.635354,0.147642,,ATLAS
59589.57732,c,17.37268,0.163663,,ATLAS
59537.639705,o,16.754555,0.093527,,ATLAS
59539.620233,o,16.767276,0.190791,,ATLAS
59541.644864,o,16.283657,0.05746,,ATLAS
59543.628226,o,16.246124,0.056608,,ATLAS
59545.630881,o,15.898143,0.039987,,ATLAS
59563.561442,o,15.956838,0.043509,,ATLAS
59565.653404,o,15.992843,0.091508,,ATLAS
59579.990693,o,16.576453,0.145135,,ATLAS
59580.013395,o,16.644598,0.089281,,ATLAS
59591.488495,o,17.096192,0.121463,,ATLAS
59596.976117,o,17.030707,0.128934,,ATLAS
59598.885057,o,16.657307,0.17503,,ATLAS
59600.978465,o,16.972685,0.12313,,ATLAS
59603.571159,o,17.470623,0.167155,,ATLAS
59605.032116,o,17.254861,0.137167,,ATLAS
59617.880239,o,17.455965,0.166134,,ATLAS
59630.249045,o,17.583744,0.191068,,ATLAS
59633.260999,o,17.661914,0.198883,,ATLAS
59636.267692,o,17.563722,0.181881,,ATLAS
