time,band,magnitude,e_magnitude,diffmaglim,telescope
59375.378298600204,r,19.6697998046875,0.20023900270462036,,ZTF
59373.36597219994,r,19.662799835205078,0.20277899503707886,,ZTF
59373.336458299775,g,20.1023006439209,0.31255799531936646,,ZTF
59370.336111099925,r,19.79789924621582,0.16045700013637543,,ZTF
59370.23209490022,g,20.273000717163086,0.23695600032806396,,ZTF
59368.33916669991,g,20.20330047607422,0.21332399547100067,,ZTF
59368.312673599925,r,19.557600021362305,0.1579129993915558,,ZTF
59364.33670140011,r,19.489599227905273,0.17267100512981415,,ZTF
59362.292928200215,r,19.63450050354004,0.237418994307518,,ZTF
59354.35686339997,g,19.972200393676758,0.48260200023651123,,ZTF
59354.28884259984,r,19.252500534057617,0.22856800258159637,,ZTF
59352.319213000126,g,20.097400665283203,0.23985299468040466,,ZTF
59349.38423610013,g,19.891300201416016,0.18214799463748932,,ZTF
59349.3353587999,r,19.20240020751953,0.10326799750328064,,ZTF
59345.377488399856,g,19.79450035095215,0.1645289957523346,,ZTF
59345.34120369982,r,19.28510093688965,0.18187500536441803,,ZTF
59343.37819440011,g,19.612699508666992,0.1708800047636032,,ZTF
59343.33557870006,r,19.12969970703125,0.1797270029783249,,ZTF
59341.3989467998,r,19.05069923400879,0.13880600035190582,,ZTF
59341.3573264,g,19.78660011291504,0.17511600255966187,,ZTF
59339.35809030011,g,19.75830078125,0.18101400136947632,,ZTF
59339.33377309982,r,19.06089973449707,0.11294099688529968,,ZTF
59336.39461810002,r,18.86004066467285,0.12838900089263916,,ZTF
59336.39461810002,r,18.860000610351562,0.12838900089263916,,ZTF
59336.39461810002,r,18.860000610351562,0.12838900089263916,,ZTF
59329.38050930016,g,19.235300064086914,0.22159700095653534,,ZTF
59329.38050930016,g,19.235300064086914,0.22159700095653534,,ZTF
59324.39839120023,g,19.668500900268555,0.15154699981212616,,ZTF
59324.27517359983,r,18.628299713134766,0.12567199766635895,,ZTF
59324.27517359983,r,18.628299713134766,0.12567199766635895,,ZTF
59322.4192476999,g,19.510099411010742,0.1992730051279068,,ZTF
59322.31254629977,r,18.660999298095703,0.13280199468135834,,ZTF
59317.43780090008,r,18.509700775146484,0.08562500029802322,,ZTF
59315.44087960012,r,18.484100341796875,0.13370999693870544,,ZTF
59313.44059030013,r,18.40559959411621,0.09982000291347504,,ZTF
59311.4404397998,g,19.287700653076172,0.14809300005435944,,ZTF
59309.46175929997,r,18.267499923706055,0.08302100002765656,,ZTF
59309.356099499855,g,19.322500228881836,0.14958900213241577,,ZTF
59307.48204859998,g,19.241300582885742,0.17548899352550507,,ZTF
59307.44129629992,r,18.228099822998047,0.06576000154018402,,ZTF
59303.42152780015,r,18.001800537109375,0.10034400224685669,,ZTF
59303.37740739994,g,19.13129997253418,0.23151999711990356,,ZTF
59301.38317129994,r,17.996200561523438,0.13632500171661377,,ZTF
59297.4424883998,g,18.98859977722168,0.16493399441242218,,ZTF
59295.480208300054,r,17.86720085144043,0.06480100005865097,,ZTF
59291.48269680003,g,18.842500686645508,0.1175369992852211,,ZTF
59291.3796759001,r,17.69059944152832,0.05835400149226189,,ZTF
59280.442569400184,r,17.038000106811523,0.05239399895071983,,ZTF
59280.40109949978,g,18.269500732421875,0.1269949972629547,,ZTF
59276.481307900045,r,16.7637996673584,0.042445000261068344,,ZTF
59276.44103009999,g,17.88010025024414,0.09800300002098083,,ZTF
59274.503576400224,r,16.671499252319336,0.053022000938653946,,ZTF
59274.46377310017,g,17.700300216674805,0.17029599845409393,,ZTF
59272.46417819988,r,16.586299896240234,0.05533900111913681,,ZTF
59270.483124999795,r,16.501300811767578,0.04620800167322159,,ZTF
59270.4421759001,g,17.328399658203125,0.06989700347185135,,ZTF
59268.50200230023,g,17.225900650024414,0.049180999398231506,,ZTF
59268.45525459992,r,16.46470069885254,0.03742700070142746,,ZTF
59266.503564800136,g,17.184999465942383,0.0722460001707077,,ZTF
59264.500127300154,g,17.07159996032715,0.04060199856758118,,ZTF
59258.522060200106,g,16.980199813842773,0.05465500056743622,,ZTF
59255.53174770018,g,17.01110076904297,0.04878399893641472,,ZTF
59252.52931710007,g,17.19879913330078,0.04483199864625931,,ZTF
59248.5022454001,g,17.63559913635254,0.07046300172805786,,ZTF
59254.659137,c,16.951362,0.02233,,ATLAS
59256.641012,c,16.863492,0.015754,,ATLAS
59258.601965,c,16.81129,0.015716,,ATLAS
59260.621403,c,16.783159,0.014495,,ATLAS
59262.630318,c,16.763531,0.014115,,ATLAS
59312.519688,c,18.92894,0.088169,,ATLAS
59316.615916,c,19.076189,0.106731,,ATLAS
59324.528224,c,19.176746,0.115315,,ATLAS
59346.463051,c,19.496794,0.151101,,ATLAS
59350.502688,c,19.669485,0.199705,,ATLAS
59354.529939,c,19.535475,0.167412,,ATLAS
59367.404598,c,19.776472,0.193957,,ATLAS
59368.386805,c,19.650494,0.193499,,ATLAS
59244.622336,o,18.303913,0.090495,,ATLAS
59246.621431,o,17.867182,0.057173,,ATLAS
59248.653161,o,17.507285,0.050329,,ATLAS
59268.57484,o,16.553334,0.016837,,ATLAS
59270.5987,o,16.563637,0.019073,,ATLAS
59272.613954,o,16.604956,0.019396,,ATLAS
59276.571351,o,16.794566,0.022551,,ATLAS
59280.596784,o,17.050285,0.023921,,ATLAS
59288.573756,o,17.510707,0.034066,,ATLAS
59292.542246,o,17.70657,0.042101,,ATLAS
59300.511181,o,17.985588,0.196126,,ATLAS
59322.497702,o,18.472023,0.087086,,ATLAS
59326.466315,o,18.543226,0.098522,,ATLAS
59328.47611,o,18.544228,0.123017,,ATLAS
59334.541244,o,18.695955,0.141371,,ATLAS
59336.540007,o,18.674576,0.121883,,ATLAS
59338.57529,o,19.045786,0.157502,,ATLAS
59344.465627,o,19.006295,0.149303,,ATLAS
59348.439966,o,19.079455,0.145218,,ATLAS
59352.521457,o,19.10987,0.145717,,ATLAS
59370.386323,o,19.517918,0.21531,,ATLAS
59373.38544,o,19.515085,0.214727,,ATLAS
