time,band,magnitude,e_magnitude,diffmaglim,telescope
59338.422321,c,16.982377,0.02517,,ATLAS
59342.360583,c,17.299972,0.027518,,ATLAS
59346.351354,c,17.700994,0.03857,,ATLAS
59349.343708,c,17.911212,0.047702,,ATLAS
59350.390295,c,17.950017,0.063841,,ATLAS
59368.342971,c,18.826425,0.103667,,ATLAS
59372.301307,c,18.969162,0.13403,,ATLAS
59376.316511,c,18.989324,0.120448,,ATLAS
59380.27767,c,19.21277,0.151467,,ATLAS
58280.364815,o,17.774417,0.143708,,ATLAS
59322.452535,o,17.081483,0.042042,,ATLAS
59323.386138,o,16.977694,0.036758,,ATLAS
59324.387587,o,16.919737,0.034847,,ATLAS
59326.340643,o,16.767522,0.028715,,ATLAS
59327.336537,o,16.614273,0.025091,,ATLAS
59331.408049,o,16.531672,0.028845,,ATLAS
59332.418624,o,16.531826,0.024981,,ATLAS
59333.500759,o,16.578433,0.029537,,ATLAS
59334.389191,o,16.569795,0.023418,,ATLAS
59335.427341,o,16.681879,0.025683,,ATLAS
59336.404361,o,16.761023,0.027627,,ATLAS
59344.352336,o,17.315968,0.042333,,ATLAS
59348.338237,o,17.61802,0.055917,,ATLAS
59351.330945,o,17.831094,0.079734,,ATLAS
59352.338519,o,17.779405,0.050421,,ATLAS
59353.313506,o,17.834483,0.071573,,ATLAS
59354.348384,o,17.792117,0.070927,,ATLAS
59359.343294,o,18.031524,0.07549,,ATLAS
59360.370271,o,18.020234,0.136337,,ATLAS
59361.371381,o,18.126051,0.112659,,ATLAS
59362.347929,o,18.125662,0.103344,,ATLAS
59364.306968,o,18.136352,0.089888,,ATLAS
59366.333929,o,18.279525,0.104288,,ATLAS
59370.300304,o,18.278894,0.103612,,ATLAS
59374.298656,o,18.489866,0.125893,,ATLAS
59378.336755,o,18.529833,0.161766,,ATLAS
59382.267879,o,18.630977,0.156818,,ATLAS
59388.269482,o,18.64059,0.176201,,ATLAS
59390.269445,o,19.086333,0.216304,,ATLAS
59391.264866,o,18.957234,0.195753,,ATLAS
59392.30167,o,19.081088,0.216972,,ATLAS
59326.3462219933,g,16.5162,0.0151286,,Pan-STARRS
59332.3052504771,g,16.4589,0.0131631,,Pan-STARRS
59335.3888096855,g,16.6859,0.015643,,Pan-STARRS
59342.2778940889,g,17.3453,0.0143999,,Pan-STARRS
59345.2856542845,g,17.5996,0.027876,,Pan-STARRS
59348.3078662939,g,17.8752,0.0326521,,Pan-STARRS
