time,band,magnitude,e_magnitude,diffmaglim,telescope
59373.21724539995,r,19.90258026123047,0.19479499757289886,,ZTF
59371.225613399874,r,19.824600219726562,0.20073899626731873,,ZTF
59367.20822919998,r,19.52050018310547,0.1505420058965683,,ZTF
59365.2045948999,g,20.529800415039062,0.36816099286079407,,ZTF
59365.18162039993,r,19.44770050048828,0.13526199758052826,,ZTF
59363.214004599955,g,20.58300018310547,0.4175800085067749,,ZTF
59361.194583300035,r,19.03689956665039,0.12973299622535706,,ZTF
59356.23582179984,r,18.56760025024414,0.15136699378490448,,ZTF
59353.22182870004,g,19.553600311279297,0.19719700515270233,,ZTF
59353.19277779991,r,18.504600524902344,0.07284899801015854,,ZTF
59350.229606499895,r,18.407800674438477,0.10638800263404846,,ZTF
59350.17799769994,g,19.14299964904785,0.13461899757385254,,ZTF
59348.17570600007,r,18.388700485229492,0.08576299995183945,,ZTF
59346.331990700215,g,18.818899154663086,0.12780900299549103,,ZTF
59344.2691434999,g,18.6028995513916,0.1058029979467392,,ZTF
59344.20875000022,r,18.437000274658203,0.07811500132083893,,ZTF
59342.290636599995,r,18.368600845336914,0.0953579992055893,,ZTF
59342.23552080011,g,18.604000091552734,0.0878089964389801,,ZTF
59340.23347220011,r,18.619699478149414,0.07348299771547318,,ZTF
59340.19221059978,g,18.68899917602539,0.1038689985871315,,ZTF
59338.23717590002,r,18.81049919128418,0.07827799767255783,,ZTF
59338.192245400045,g,18.87579917907715,0.09510599821805954,,ZTF
59335.21192129981,g,19.429100036621094,0.2088630050420761,,ZTF
59335.191122699995,r,19.3843994140625,0.14315800368785858,,ZTF
59338.385664,c,18.757804,0.103111,,ATLAS
59342.331437,c,18.517179,0.06312,,ATLAS
59346.328391,c,18.608896,0.064264,,ATLAS
59350.307063,c,18.810947,0.081185,,ATLAS
59335.329042,o,19.384104,0.177877,,ATLAS
59336.365637,o,19.344722,0.176935,,ATLAS
59344.337519,o,18.414872,0.084123,,ATLAS
59345.347302,o,18.486411,0.077322,,ATLAS
59348.301497,o,18.559302,0.096834,,ATLAS
59349.307092,o,18.441682,0.075143,,ATLAS
59352.317944,o,18.51002,0.086927,,ATLAS
59358.293325,o,18.912593,0.153872,,ATLAS
59360.35342,o,18.902349,0.198787,,ATLAS
59363.306584,o,19.258909,0.159425,,ATLAS
59364.28658,o,19.285345,0.161413,,ATLAS
59366.326661,o,19.291063,0.173004,,ATLAS
59367.288822,o,19.388792,0.189363,,ATLAS
59370.299218,o,19.511352,0.214906,,ATLAS
