time,band,magnitude,e_magnitude,diffmaglim,telescope
59426.398668999784,r,19.91547966003418,0.18815399706363678,,ZTF
59412.39699070016,r,19.653799057006836,0.16437900066375732,,ZTF
59405.39430559985,r,19.635000228881836,0.1911270022392273,,ZTF
59401.38612269983,g,20.33919906616211,0.2542949914932251,,ZTF
59396.39659720007,r,19.4950008392334,0.1575389951467514,,ZTF
59394.42012730008,r,19.441299438476562,0.23613299429416656,,ZTF
59385.41780090006,g,20.052200317382812,0.19413599371910095,,ZTF
59349.598842,c,18.443473,0.069042,,ATLAS
59353.598645,c,18.604449,0.075708,,ATLAS
59371.532429,c,19.36605,0.143861,,ATLAS
59375.556926,c,19.744122,0.211402,,ATLAS
59379.542346,c,19.575575,0.173269,,ATLAS
59331.611659,o,19.077384,0.185588,,ATLAS
59333.612152,o,18.722985,0.170544,,ATLAS
59335.584814,o,18.588939,0.129443,,ATLAS
59347.552256,o,18.199745,0.06973,,ATLAS
59351.584593,o,18.241718,0.072844,,ATLAS
59357.559889,o,18.439279,0.094523,,ATLAS
59359.518291,o,18.415125,0.118396,,ATLAS
59367.562983,o,18.916849,0.136333,,ATLAS
59373.558793,o,18.915861,0.145253,,ATLAS
59377.518863,o,19.019481,0.153815,,ATLAS
59385.490939,o,19.32696,0.206165,,ATLAS
59371.6043220983,w,19.0953,0.0332483,,Pan-STARRS
59378.57899554055,w,19.311475,0.011756806539191896,,Pan-STARRS
59400.50164600638,w,19.7196,0.025660995044359463,,Pan-STARRS
59402.5057314434,w,19.7935,0.0530547,,Pan-STARRS
59408.52139399755,w,19.931024999999998,0.030248567459192233,,Pan-STARRS
59425.36518777917,w,20.12355,0.06007209557412335,,Pan-STARRS
59426.413603231675,w,20.118924999999997,0.034906195725114345,,Pan-STARRS
59432.364101081424,w,20.244275,0.042578192775175196,,Pan-STARRS
59440.402177089956,w,20.225275,0.024722105492857846,,Pan-STARRS
59454.31780759916,w,20.43735,0.0390434373486755,,Pan-STARRS
59464.31899585787,w,20.657975,0.035570247398633015,,Pan-STARRS
59481.26137517794,w,20.9165,0.0424580577354483,,Pan-STARRS
59488.247741038045,w,21.0306,0.0571811740581343,,Pan-STARRS
59817.32382007894,w,23.918033333333337,1.3272634039004216,,Pan-STARRS
59821.32616831363,w,24.124466666666663,1.1317827191353171,,Pan-STARRS
59843.273108759866,w,25.335800000000003,2.0453958712190645,,Pan-STARRS
59868.24403690125,w,24.6278,0.45093581952793826,,Pan-STARRS
60080.5813807775,w,24.93785,1.1675040064171083,,Pan-STARRS
