time,band,magnitude,e_magnitude,diffmaglim,telescope
59339.2555670999,r,20.32938003540039,0.17664900422096252,,ZTF
59339.211388899945,g,20.456899642944336,0.210098996758461,,ZTF
59336.3177546002,r,20.338600158691406,0.19862300157546997,,ZTF
59336.2583217998,g,20.494600296020508,0.23063400387763977,,ZTF
59334.191076400224,g,20.64349937438965,0.2519739866256714,,ZTF
59325.27810190013,r,19.995399475097656,0.1980219930410385,,ZTF
59323.27884260006,g,20.281700134277344,0.21432100236415863,,ZTF
59321.27047450002,g,20.30120086669922,0.17086699604988098,,ZTF
59317.332245400175,r,19.767499923706055,0.16395799815654755,,ZTF
59317.332245400175,r,19.767499923706055,0.16395799815654755,,ZTF
59317.25340279983,g,20.309099197387695,0.1864980012178421,,ZTF
59317.25340279983,g,20.309099197387695,0.1864980012178421,,ZTF
59313.29793980019,r,20.044300079345703,0.2516230046749115,,ZTF
59313.25611109985,g,20.400999069213867,0.274060994386673,,ZTF
59311.31082180003,r,19.74410057067871,0.1463959962129593,,ZTF
59311.23491899995,g,20.247299194335938,0.22063399851322174,,ZTF
59309.30868060002,g,20.23740005493164,0.19002699851989746,,ZTF
59309.27685189992,r,19.832199096679688,0.1504489928483963,,ZTF
59307.29770829994,g,20.13640022277832,0.1768839955329895,,ZTF
59307.27010420011,r,19.559099197387695,0.12982800602912903,,ZTF
59305.29733800003,r,19.518400192260742,0.14309699833393097,,ZTF
59297.298125000205,g,19.94260025024414,0.26715999841690063,,ZTF
59297.25859950017,r,19.63949966430664,0.22162899374961853,,ZTF
59294.32033560006,r,19.44659996032715,0.14050500094890594,,ZTF
59294.25442129979,g,20.06209945678711,0.2314009964466095,,ZTF
59291.35181709984,r,19.36639976501465,0.13391099870204926,,ZTF
59291.28771989979,g,20.077499389648438,0.1409129947423935,,ZTF
59281.28877309989,r,19.18869972229004,0.1356460005044937,,ZTF
59278.42406249978,r,19.157899856567383,0.12051600217819214,,ZTF
59275.38280089991,r,19.008899688720703,0.12278299778699875,,ZTF
59269.43662039982,g,19.944499969482422,0.17108500003814697,,ZTF
59269.37344910018,r,18.966999053955078,0.10589300096035004,,ZTF
59267.41868059989,r,18.90329933166504,0.31900298595428467,,ZTF
59265.37399310013,r,18.875900268554688,0.06939999759197235,,ZTF
59263.35775459977,g,19.699800491333008,0.20487700402736664,,ZTF
59260.485057900194,g,19.202899932861328,0.2518390119075775,,ZTF
59260.40045139985,r,18.647600173950195,0.08957900106906891,,ZTF
59256.49041670002,g,19.481800079345703,0.13271500170230865,,ZTF
59256.42160880007,r,18.555500030517578,0.0780080035328865,,ZTF
59254.4227661998,r,18.379100799560547,0.08885800093412399,,ZTF
59252.4871991002,g,19.23940086364746,0.08715300261974335,,ZTF
59252.33285879996,r,18.282499313354492,0.07620599865913391,,ZTF
59250.47833329998,g,19.09819984436035,0.10120700299739838,,ZTF
59250.41983800009,r,18.176000595092773,0.07297500222921371,,ZTF
59248.500115700066,g,18.9335994720459,0.09482499957084656,,ZTF
59248.438726900145,r,18.07229995727539,0.059450000524520874,,ZTF
59231.48304399988,r,17.84119987487793,0.04456700012087822,,ZTF
59231.42186339991,g,18.17490005493164,0.059654999524354935,,ZTF
59229.505868100096,r,17.92609977722168,0.08212099969387054,,ZTF
59229.46783560002,g,18.28420066833496,0.11827600002288818,,ZTF
59227.48140050005,g,18.395299911499023,0.0701029971241951,,ZTF
59227.37990739988,r,18.0762996673584,0.06630200147628784,,ZTF
59225.505335600115,r,18.408899307250977,0.2439119964838028,,ZTF
59225.4814352002,g,18.575700759887695,0.1284179985523224,,ZTF
59223.46844909992,r,18.531999588012695,0.07082399725914001,,ZTF
59223.402951399796,g,18.952999114990234,0.12382800132036209,,ZTF
59221.47292819992,g,19.364500045776367,0.20116400718688965,,ZTF
59221.44759259978,r,19.0762996673584,0.10861299932003021,,ZTF
59226.567302,c,18.34683,0.058401,,ATLAS
59230.551301,c,18.032362,0.044657,,ATLAS
59232.533782,c,18.040125,0.045989,,ATLAS
59234.564706,c,17.847362,0.043813,,ATLAS
59253.553629,c,18.768233,0.081536,,ATLAS
59255.502933,c,18.955858,0.10454,,ATLAS
59257.55057,c,18.991591,0.102256,,ATLAS
59258.376466,c,19.000483,0.119362,,ATLAS
59261.509815,c,19.162353,0.121269,,ATLAS
59262.481496,c,19.296133,0.140003,,ATLAS
59220.595027,o,19.285199,0.215976,,ATLAS
59222.594491,o,18.801125,0.148824,,ATLAS
59243.568018,o,17.844554,0.08407,,ATLAS
59248.602758,o,17.939472,0.068862,,ATLAS
59251.586979,o,18.193957,0.07285,,ATLAS
59252.590341,o,18.23017,0.07764,,ATLAS
59268.357177,o,19.092718,0.191326,,ATLAS
59269.405533,o,18.97574,0.168391,,ATLAS
59270.497753,o,19.071017,0.21604,,ATLAS
59276.553489,o,19.173827,0.187721,,ATLAS
59277.56601,o,19.100424,0.172268,,ATLAS
59280.465511,o,19.182945,0.176884,,ATLAS
59284.57801,o,19.000392,0.174883,,ATLAS
59288.380047,o,19.249155,0.187969,,ATLAS
59293.409756,o,19.32807,0.201451,,ATLAS
59297.39411,o,19.260577,0.202364,,ATLAS
59924.6415669634,i,25.073933333333333,1.3140996626334451,,Pan-STARRS
59267.60428296252,w,18.932025,0.027415856117705143,,Pan-STARRS
59291.5550318948,w,19.4301,0.0632204,,Pan-STARRS
59315.33317454705,w,19.7782,0.09776185350125106,,Pan-STARRS
59333.27992256833,w,20.063,0.04838643060473393,,Pan-STARRS
59969.5228093644,w,23.8391,2.3298,,Pan-STARRS
60019.4083459958,w,23.584,0.8010101559905475,,Pan-STARRS
60028.368622133166,w,22.041733333333337,0.14468484140826,,Pan-STARRS
60049.32131529334,w,24.342933333333335,0.030885325533873548,,Pan-STARRS
60078.38188343593,w,24.755066666666664,0.7167575624528384,,Pan-STARRS
