time,band,magnitude,e_magnitude,diffmaglim,telescope
59406.78927,G,18.65,0.1,,Gaia
59406.86329,G,18.6,0.1,,Gaia
59428.53921,G,19.79,0.1,,Gaia
59428.61323,G,19.76,0.1,,Gaia
59410.425439800136,r,18.86578941345215,0.07580199837684631,,ZTF
59408.4287268999,r,18.636899948120117,0.07809200137853622,,ZTF
59401.42677079979,r,18.440799713134766,0.0498879998922348,,ZTF
59396.43166670017,g,19.299800872802734,0.11669400334358215,,ZTF
59396.385810200125,r,18.632400512695312,0.075143001973629,,ZTF
59394.427268499974,r,18.805099487304688,0.09066399931907654,,ZTF
59394.370752300136,g,19.388500213623047,0.15976999700069427,,ZTF
59391.45413189987,g,19.8710994720459,0.24017399549484253,,ZTF
59404.527008,c,19.00086,0.115264,,ATLAS
59408.543389,c,19.244634,0.134246,,ATLAS
57300.338827,o,17.922662,0.214313,,ATLAS
59394.457716,o,18.759708,0.173998,,ATLAS
59398.526256,o,18.352405,0.081584,,ATLAS
59402.527013,o,18.314542,0.092293,,ATLAS
59406.460425,o,18.335087,0.122937,,ATLAS
59410.508024,o,18.583154,0.103606,,ATLAS
59414.488841,o,18.957433,0.162782,,ATLAS
