time,band,magnitude,e_magnitude,diffmaglim,telescope
59411.2185531999,r,19.010740280151367,0.16118000447750092,,ZTF
59409.22535880003,g,19.18899917602539,0.12782500684261322,,ZTF
59409.187615700066,r,19.125099182128906,0.1205739974975586,,ZTF
59407.23695599986,g,19.360599517822266,0.16293400526046753,,ZTF
59405.22270830022,g,19.319700241088867,0.12062700092792511,,ZTF
59405.20186340017,r,19.1830997467041,0.13038800656795502,,ZTF
59403.19252309995,r,19.24370002746582,0.1469780057668686,,ZTF
59401.27834489988,r,19.365100860595703,0.14603599905967712,,ZTF
59401.22677080007,g,19.39430046081543,0.1451359987258911,,ZTF
59399.24101850018,g,19.597400665283203,0.14283199608325958,,ZTF
59399.2074190001,r,19.562000274658203,0.13494400680065155,,ZTF
59396.20636569988,r,19.84440040588379,0.14357499778270721,,ZTF
59394.19383100001,g,20.122299194335938,0.25953999161720276,,ZTF
59392.21319440007,g,20.808700561523438,0.3419469892978668,,ZTF
57600.274216,c,19.410495,0.215076,,ATLAS
59403.333274,c,19.352711,0.091819,,ATLAS
59407.271778,c,19.461594,0.201416,,ATLAS
58117.667084,o,14.411691,0.005263,,ATLAS
59401.320144,o,19.420114,0.185315,,ATLAS
59405.309326,o,19.371149,0.18205,,ATLAS
59409.278026,o,19.278559,0.165571,,ATLAS
59413.269019,o,19.400408,0.20646,,ATLAS
