time,band,magnitude,e_magnitude,diffmaglim,telescope
59438.39005789999,g,19.915250778198242,0.18524199724197388,,ZTF
59435.42428239994,g,19.82900047302246,0.15240000188350677,,ZTF
59430.41203700006,g,19.591999053955078,0.12855899333953857,,ZTF
59428.33250000002,g,19.670900344848633,0.15490800142288208,,ZTF
59426.37074070005,g,19.40220069885254,0.13414500653743744,,ZTF
59414.40562500013,g,20.503299713134766,0.2948249876499176,,ZTF
59434.505628,c,19.242824,0.118199,,ATLAS
59438.454335,c,19.360445,0.131722,,ATLAS
59442.558854,c,19.6752,0.174648,,ATLAS
59046.576081,o,17.736253,0.213545,,ATLAS
59422.533952,o,18.968609,0.141508,,ATLAS
59424.547508,o,19.139964,0.199389,,ATLAS
59426.545443,o,18.910047,0.130819,,ATLAS
59428.58149,o,18.763806,0.113601,,ATLAS
59430.532544,o,18.674566,0.099882,,ATLAS
59432.567965,o,18.668123,0.102847,,ATLAS
59436.498111,o,18.877272,0.123216,,ATLAS
59440.495351,o,18.864556,0.125451,,ATLAS
59444.45461,o,19.133936,0.173352,,ATLAS
