time,band,magnitude,e_magnitude,diffmaglim,telescope
59550.551620400045,r,19.67197036743164,0.16836699843406677,,ZTF
59550.54918979993,r,19.773099899291992,0.22575899958610535,,ZTF
59550.546747699846,r,19.709400177001953,0.18184199929237366,,ZTF
59550.5443171002,r,19.648799896240234,0.21295100450515747,,ZTF
59550.54187500011,r,19.73780059814453,0.26739299297332764,,ZTF
59458.19894680008,r,18.156299591064453,0.09529200196266174,,ZTF
59454.1722569,g,18.827600479125977,0.08164999634027481,,ZTF
59452.213356500026,r,18.249099731445312,0.05655600130558014,,ZTF
59450.183229200076,r,18.297000885009766,0.109934002161026,,ZTF
59447.194791700225,r,18.430700302124023,0.1247360035777092,,ZTF
59447.18633100018,g,18.63249969482422,0.20409800112247467,,ZTF
59443.247233800124,r,18.705900192260742,0.23026299476623535,,ZTF
59443.16641200008,g,19.060199737548828,0.21379199624061584,,ZTF
59441.21746530011,g,19.18429946899414,0.23446300625801086,,ZTF
59439.19792820001,r,18.945600509643555,0.15480999648571014,,ZTF
59436.24452550011,g,19.831300735473633,0.2782849967479706,,ZTF
59436.19567129994,r,19.497600555419922,0.16772499680519104,,ZTF
59434.22887729993,g,20.374399185180664,0.25835898518562317,,ZTF
59434.1770601999,r,20.008100509643555,0.19783499836921692,,ZTF
59437.257821,c,19.590074,0.138304,,ATLAS
59439.265094,o,18.825467,0.118893,,ATLAS
59441.284258,o,18.896748,0.114752,,ATLAS
59443.289677,o,18.625724,0.10932,,ATLAS
59445.246362,o,18.502476,0.093589,,ATLAS
59449.319459,o,18.33979,0.066496,,ATLAS
59451.279067,o,18.259585,0.069147,,ATLAS
59453.241205,o,18.236674,0.063446,,ATLAS
59457.268328,o,18.005498,0.094627,,ATLAS
59461.258153,o,18.243779,0.052715,,ATLAS
59465.263972,o,18.194437,0.058221,,ATLAS
59475.233466,o,18.163654,0.119639,,ATLAS
59481.226333,o,18.361295,0.079455,,ATLAS
59483.226458,o,18.506517,0.105769,,ATLAS
59487.224164,o,18.605482,0.14483,,ATLAS
59489.226536,o,18.534227,0.118247,,ATLAS
59491.213181,o,18.580588,0.180235,,ATLAS
