time,band,magnitude,e_magnitude,diffmaglim,telescope
59440.88979,G,18.26,0.1,,Gaia
59441.06597,G,18.31,0.1,,Gaia
57248.534876,c,18.136622,0.164212,,ATLAS
59437.603577,c,19.115465,0.150004,,ATLAS
59441.578252,c,18.682856,0.118883,,ATLAS
59463.590068,c,19.177524,0.196252,,ATLAS
59443.55013,o,18.196737,0.090216,,ATLAS
59445.523013,o,18.164885,0.103781,,ATLAS
59447.524331,o,18.04789,0.084983,,ATLAS
59449.52897,o,17.873997,0.07267,,ATLAS
59455.528293,o,18.347191,0.110202,,ATLAS
59457.569235,o,18.538797,0.120523,,ATLAS
59465.533027,o,19.115202,0.21257,,ATLAS
59501.386142319825,i,19.804375,0.03797335688786683,,Pan-STARRS
59513.52340307708,i,20.774725,0.4880457611740936,,Pan-STARRS
59468.47000950048,w,19.500975,0.04093021500065717,,Pan-STARRS
59491.603223553975,w,20.424075000000002,0.1146139134951179,,Pan-STARRS
59519.4955823028,w,21.303649999999998,0.5606649668028132,,Pan-STARRS
59847.4260175293,w,24.0011,1.84814,,Pan-STARRS
59869.5268726542,w,23.55545,1.5306740492345192,,Pan-STARRS
59909.271103601866,w,24.9395,0.7475768254835073,,Pan-STARRS
