time,band,magnitude,e_magnitude,diffmaglim,telescope
59466.404431,c,19.511193,0.184073,,ATLAS
59470.431082,c,18.800748,0.094153,,ATLAS
59468.42183,o,18.844503,0.156115,,ATLAS
59471.338969,o,18.860531,0.136629,,ATLAS
59478.423345,o,18.420369,0.154351,,ATLAS
59479.390629,o,18.095958,0.115379,,ATLAS
59480.418061,o,18.223298,0.102161,,ATLAS
59481.359653,o,18.227119,0.084871,,ATLAS
59484.364447,o,18.18046,0.109664,,ATLAS
59485.35581,o,18.367779,0.0798,,ATLAS
59486.363732,o,18.439468,0.085242,,ATLAS
59488.350638,o,18.349747,0.111782,,ATLAS
59489.346557,o,18.464166,0.088607,,ATLAS
59490.369637,o,18.450925,0.089004,,ATLAS
59493.342988,o,18.753791,0.119665,,ATLAS
59494.339383,o,18.599136,0.10616,,ATLAS
59496.312518,o,18.93395,0.153236,,ATLAS
59498.344253,o,18.806576,0.125595,,ATLAS
59501.305441,o,19.152206,0.207234,,ATLAS
59481.32581437606,i,18.197719999999997,0.044749826815306946,,Pan-STARRS
59807.487142665654,i,23.331475,0.6055859882515995,,Pan-STARRS
59384.523301915535,w,24.790316666666666,1.1381490630258697,,Pan-STARRS
59428.496549899646,w,23.77335,0.08068088373338544,,Pan-STARRS
59435.399444762,w,28.5265,48.9664,,Pan-STARRS
59438.423581700066,w,24.621033333333333,0.3997641846555711,,Pan-STARRS
59455.33772056335,w,25.759050000000002,0.6432550388454004,,Pan-STARRS
59465.343040887805,w,19.939175,0.043533693847409564,,Pan-STARRS
59484.3568414642,w,18.3927,0.0176354,,Pan-STARRS
59495.3183272048,w,18.813,0.0472211,,Pan-STARRS
59516.23888504879,w,19.8846875,0.15101549057251457,,Pan-STARRS
59812.41646649857,w,23.114475,1.1680417583146019,,Pan-STARRS
59817.38925411682,w,23.375859999999996,0.6772525142072198,,Pan-STARRS
59841.309264213356,w,24.05414,0.6341157883226052,,Pan-STARRS
59845.33966641072,w,24.9705,3.729603505289357,,Pan-STARRS
59849.3131665696,w,25.483099999999997,2.1033711821739884,,Pan-STARRS
59871.2579640097,w,24.4794,0.8678956100822258,,Pan-STARRS
