time,band,magnitude,e_magnitude,diffmaglim,telescope
59582.79247,G,20.02,0.1,,Gaia
59618.2762,G,18.79,0.1,,Gaia
59618.35021,G,18.77,0.1,,Gaia
59647.76925,G,19.68,0.1,,Gaia
59681.25384,G,20.12,0.1,,Gaia
59681.32785,G,20.1,0.1,,Gaia
59715.73162,G,20.49,0.1,,Gaia
59607.956526,c,18.63158,0.071876,,ATLAS
59639.132204,c,19.684767,0.169736,,ATLAS
59640.133636,c,19.570113,0.154199,,ATLAS
59597.024529,o,18.59591,0.140717,,ATLAS
59600.962653,o,18.367432,0.112428,,ATLAS
59604.951071,o,18.319856,0.088866,,ATLAS
59617.872156,o,18.532937,0.111872,,ATLAS
59621.922646,o,18.539619,0.117238,,ATLAS
59628.109906,o,18.745251,0.123609,,ATLAS
59632.167714,o,19.005693,0.149731,,ATLAS
59636.15975,o,18.966931,0.155773,,ATLAS
59638.141019,o,19.14492,0.186309,,ATLAS
59641.125731,o,19.131494,0.208851,,ATLAS
59642.132901,o,19.048318,0.171771,,ATLAS
